Nickname,NF Suffix,FanDuel Nickname
Tyrese Maxey,tyrese-maxey,Tyrese Maxey
Deandre Ayton,deandre-ayton,Deandre Ayton
Stephen Curry,stephen-curry,Stephen Curry
Kyle Kuzma,kyle-kuzma,Kyle Kuzma
Pascal Siakam,pascal-siakam,Pascal Siakam
LaMelo Ball,lamelo-ball,LaMelo Ball
Chet Holmgren,chet-holmgren,Chet Holmgren
Jalen Williams,jalen-williams,Jalen Williams
Anfernee Simons,anfernee-simons,Anfernee Simons
Chris Paul,chris-paul,Chris Paul
Mikal Bridges,mikal-bridges,Mikal Bridges
Jonathan Kuminga,jonathan-kuminga,Jonathan Kuminga
Brandon Miller,brandon-miller,Brandon Miller
Deni Avdija,deni-avdija,Deni Avdija
Austin Reaves,austin-reaves,Austin Reaves
Myles Turner,myles-turner,Myles Turner
Tobias Harris,tobias-harris,Tobias Harris
Vince Williams,vince-williams,Vince Williams
Jerami Grant,jerami-grant,Jerami Grant
Brandin Podziemski,brandin-podziemski,Brandin Podziemski
Josh Giddey,josh-giddey,Josh Giddey
Draymond Green,draymond-green,Draymond Green
Paul Reed,paul-reed,Paul Reed
Malcolm Brogdon,malcolm-brogdon,Malcolm Brogdon
Santi Aldama,santi-aldama,Santi Aldama
Tyus Jones,tyus-jones,Tyus Jones
Jordan Poole,jordan-poole,Jordan Poole
Dennis Schroder,dennis-schroder,Dennis Schroder
Vasilije Micic,vasilije-micic,Vasilije Micic
Scoot Henderson,scoot-henderson,Scoot Henderson
Trayce Jackson-Davis,trayce-jackson-davis,Trayce Jackson-Davis
Cameron Johnson,cameron-johnson,Cameron Johnson
Klay Thompson,klay-thompson,Klay Thompson
Marvin Bagley,marvin-bagley,Marvin Bagley
Buddy Hield,buddy-hield,Buddy Hield
Grant Williams,grant-williams,Grant Williams
Nick Richards,nick-richards,Nick Richards
Tre Mann,tre-mann,Tre Mann
John Konchar,john-konchar,John Konchar
Richaun Holmes,richaun-holmes,Richaun Holmes
Jordan Goodwin,jordan-goodwin,Jordan Goodwin
Luguentz Dort,luguentz-dort,Luguentz Dort
Mark Williams,mark-williams,Mark Williams
Luke Kennard,luke-kennard,Luke Kennard
Corey Kispert,corey-kispert,Corey Kispert
Rui Hachimura,rui-hachimura,Rui Hachimura
Aaron Nesmith,aaron-nesmith,Aaron Nesmith
Andrew Wiggins,andrew-wiggins,Andrew Wiggins
Bilal Coulibaly,bilal-coulibaly,Bilal Coulibaly
Jake LaRavia,jake-laravia,Jake LaRavia
Scotty Pippen,scotty-pippen-jr,Scotty Pippen
Dennis Smith,dennis-smith,Dennis Smith
Dorian Finney-Smith,dorian-finney-smith,Dorian Finney-Smith
Dalano Banton,dalano-banton,Dalano Banton
Isaiah Jackson,isaiah-jackson,Isaiah Jackson
Lamar Stevens,lamar-stevens,Lamar Stevens
Gordon Hayward,gordon-hayward,Gordon Hayward
Marcus Smart,marcus-smart,Marcus Smart
Toumani Camara,toumani-camara,Toumani Camara
Andrew Nembhard,andrew-nembhard,Andrew Nembhard
Cody Martin,cody-martin,Cody Martin
Trey Jemison,trey-jemison,Trey Jemison
Kris Murray,kris-murray,Kris Murray
Kai Jones,kai-jones,Kai Jones
Aleksej Pokusevski,aleksej-pokusevski,Aleksej Pokusevski
Kyle Lowry,kyle-lowry,Kyle Lowry
Jalen Smith,jalen-smith,Jalen Smith
Davis Bertans,davis-bertans,Davis Bertans
Matisse Thybulle,matisse-thybulle,Matisse Thybulle
Cameron Payne,cameron-payne,Cameron Payne
Obi Toppin,obi-toppin,Obi Toppin
Moses Moody,moses-moody,Moses Moody
Lonnie Walker,lonnie-walker,Lonnie Walker
Nicolas Batum,nicolas-batum,Nicolas Batum
Duop Reath,duop-reath,Duop Reath
DeJon Jarreau,dejon-jarreau,DeJon Jarreau
Jabari Walker,jabari-walker,Jabari Walker
Jaxson Hayes,jaxson-hayes,Jaxson Hayes
Spencer Dinwiddie,spencer-dinwiddie,Spencer Dinwiddie
Jarace Walker,jarace-walker,Jarace Walker
Cason Wallace,cason-wallace,Cason Wallace
Taurean Prince,taurean-prince,Taurean Prince
Trendon Watford,trendon-watford,Trendon Watford
Mo Bamba,mohamed-bamba,Mo Bamba
Jaylin Williams,jaylin-williams,Jaylin Williams
Aaron Wiggins,aaron-wiggins,Aaron Wiggins
Gary Payton,gary-payton-ii,Gary Payton
Seth Curry,seth-curry,Seth Curry
Wenyen Gabriel,wenyen-gabriel,Wenyen Gabriel
Ben Sheppard,ben-sheppard,Ben Sheppard
Christian Wood,christian-wood,Christian Wood
Cam Reddish,cam-reddish,Cam Reddish
Isaiah Joe,isaiah-joe,Isaiah Joe
Ashton Hagans,ashton-hagans,Ashton Hagans
Eugene Omoruyi,eugene-omoruyi,Eugene Omoruyi
Nick Smith,nick-smith,Nick Smith
Robert Covington,robert-covington,Robert Covington
Jalen Wilson,jalen-wilson,Jalen Wilson
Rayan Rupert,rayan-rupert,Rayan Rupert
KJ Martin,kj-martin,KJ Martin
Lester Quinones,lester-quinones,Lester Quinones
Landry Shamet,landry-shamet,Landry Shamet
Bryce McGowens,bryce-mcgowens,Bryce McGowens
Noah Clowney,noah-clowney,Noah Clowney
Moses Brown,moses-brown,Moses Brown
Ricky Council,ricky-council-iv,Ricky Council
Jared Butler,jared-butler,Jared Butler
Jeff Dowtin,jeff-dowtin,Jeff Dowtin
Kevon Looney,kevon-looney,Kevon Looney
Jarred Vanderbilt,jarred-vanderbilt,Jarred Vanderbilt
Yuta Watanabe,yuta-watanabe,Yuta Watanabe
Patrick Baldwin,patrick-baldwin-jr,Patrick Baldwin
Dario Saric,dario-saric,Dario Saric
Gui Santos,gui-santos,Gui Santos
Mike Muscala,mike-muscala,Mike Muscala
Gabe Vincent,gabe-vincent,Gabe Vincent
Dariq Whitehead,dariq-whitehead,Dariq Whitehead
Jalen Hood-Schifino,jalen-hood-schifino,Jalen Hood-Schifino
Colin Castleton,colin-castleton,Colin Castleton
Tristan Vukcevic,tristan-vukcevic,Tristan Vukcevic
Isaiah Wong,isaiah-wong,Isaiah Wong
Amari Bailey,amari-bailey,Amari Bailey
Quenton Jackson,quenton-jackson,Quenton Jackson
Marques Bolden,marques-bolden,Marques Bolden
Terquavion Smith,terquavion-smith,Terquavion Smith
Keyontae Johnson,keyontae-johnson,Keyontae Johnson
Maxwell Lewis,maxwell-lewis,Maxwell Lewis
Oscar Tshiebwe,oscar-tshiebwe,Oscar Tshiebwe
Jaylen Martin,jaylen-martin,Jaylen Martin
Ben Simmons,ben-simmons,Ben Simmons
Keon Johnson,keon-johnson,Keon Johnson
Isaiah Livers,isaiah-livers,Isaiah Livers
JT Thor,jt-thor,JT Thor
Justin Champagnie,justin-champagnie,Justin Champagnie
RJ Hampton,rj-hampton,RJ Hampton
Leaky Black,leaky-black,Leaky Black
Anthony Gill,anthony-gill,Anthony Gill
Ziaire Williams,ziaire-williams,Ziaire Williams
Bismack Biyombo,bismack-biyombo,Bismack Biyombo
Jerome Robinson,jerome-robinson,Jerome Robinson
Usman Garuba,usman-garuba,Usman Garuba
Keita Bates-Diop,keita-bates-diop,Keita Bates-Diop
Bennedict Mathurin,bennedict-mathurin,Bennedict Mathurin
Kendall Brown,kendall-brown,Kendall Brown
Max Christie,max-christie,Max Christie
Robert Williams,robert-williams,Robert Williams
James Johnson,james-johnson,James Johnson
Johnny Davis,johnny-davis,Johnny Davis
Jacob Gilyard,jacob-gilyard,Jacob Gilyard
Jules Bernard,jules-bernard,Jules Bernard
Derrick Rose,derrick-rose,Derrick Rose
Ja Morant,ja-morant,Ja Morant
Brandon Clarke,brandon-clarke,Brandon Clarke
Adam Flagler,adam-flagler,Adam Flagler
Ousmane Dieng,ousmane-dieng,Ousmane Dieng
Shaedon Sharpe,shaedon-sharpe,Shaedon Sharpe
Ibou Badji,ibou-badji,Ibou Badji
Kenrich Williams,kenrich-williams,Kenrich Williams
Doug McDermott,doug-mcdermott,Doug McDermott
Skylar Mays,skylar-mays,Skylar Mays
Pat Spencer,pat-spencer,Pat Spencer
Harry Giles,harry-giles,Harry Giles
Olivier Sarr,olivier-sarr,Olivier Sarr
Lindy Waters,lindy-waters-jr,Lindy Waters
Justin Minaya,justin-minaya,Justin Minaya
Giannis Antetokounmpo,giannis-antetokounmpo,Giannis Antetokounmpo
Donovan Mitchell,donovan-mitchell,Donovan Mitchell
