Nickname,NF Suffix,FanDuel Nickname
Shake Milton,shake-milton,Shake Milton
Oshae Brissett,oshae-brissett,Oshae Brissett
Neemias Queta,neemias-queta,Neemias Queta
Jordan Walsh,jordan-walsh,Jordan Walsh
Darius Bazley,darius-bazley,Darius Bazley
Kenneth Lofton,kenneth-lofton-jr,Kenneth Lofton
Drew Peterson,drew-peterson,Drew Peterson
Svi Mykhailiuk,svi-mykhailiuk,Svi Mykhailiuk
JD Davison,jd-davison,JD Davison
Dru Smith,dru-smith,Dru Smith
Justise Winslow,justise-winslow,Justise Winslow
Mouhamadou Gueye,mouhamadou-gueye,Mouhamadou Gueye
Zhaire Smith,zhaire-smith,Zhaire Smith
Taj Gibson,taj-gibson,Taj Gibson
Chimezie Metu,chimezie-metu,Chimezie Metu
Robin Lopez,robin-lopez,Robin Lopez
Ryan Arcidiacono,ryan-arcidiacono,Ryan Arcidiacono
Jaylen Nowell,jaylen-nowell,Jaylen Nowell
Victor Oladipo,victor-oladipo,Victor Oladipo
Ish Smith,ish-smith,Ish Smith
Frank Ntilikina,frank-ntilikina,Frank Ntilikina
James Bouknight,james-bouknight,James Bouknight
Cory Joseph,cory-joseph,Cory Joseph
Juan Toscano-Anderson,juan-toscano-anderson,Juan Toscano-Anderson
Hamidou Diallo,hamidou-diallo,Hamidou Diallo
Killian Hayes,killian-hayes,Killian Hayes
Kevin Knox,kevin-knox,Kevin Knox
Taze Moore,taze-moore,Taze Moore
Joe Harris,joe-harris,Joe Harris
Danuel House,danuel-house,Danuel House
Furkan Korkmaz,furkan-korkmaz,Furkan Korkmaz
Christian Koloko,christian-koloko,Christian Koloko
Shaquille Harrison,shaquille-harrison,Shaquille Harrison
Nathan Knight,nathan-knight,Nathan Knight
D'Moi Hodge,d'moi-hodge,D'Moi Hodge
Alex Fudge,alex-fudge,Alex Fudge
Armoni Brooks,armoni-brooks,Armoni Brooks
Ish Wainright,ish-wainright,Ish Wainright
Ricky Rubio,ricky-rubio,Ricky Rubio
Lindell Wigginton,lindell-wigginton,Lindell Wigginton
Dmytro Skapintsev,dmytro-skapintsev,Dmytro Skapintsev
Charles Bediako,charles-bediako,Charles Bediako
Dexter Dennis,dexter-dennis,Dexter Dennis
Miles Norris,miles-norris,Miles Norris
Javonte Smart,javonte-smart,Javonte Smart
Kevin Porter,kevin-porter,Kevin Porter
Will Barton,will-barton,Will Barton
R.J. Hampton,r.j.-hampton,R.J. Hampton
Terrence Ross,terrence-ross,Terrence Ross
Kenyon Martin,kenyon-martin-jr,Kenyon Martin
Noah Vonleh,noah-vonleh,Noah Vonleh
Kendrick Nunn,kendrick-nunn,Kendrick Nunn
JaMychal Green,jamychal-green,JaMychal Green
Isaiah Roby,isaiah-roby,Isaiah Roby
Gorgui Dieng,gorgui-dieng,Gorgui Dieng
Facundo Campazzo,facundo-campazzo,Facundo Campazzo
Blake Griffin,blake-griffin,Blake Griffin
Raul Neto,raul-neto,Raul Neto
Tyler Dorsey,tyler-dorsey,Tyler Dorsey
Theo Pinson,theo-pinson,Theo Pinson
McKinley Wright,mckinley-wright,McKinley Wright
Trevor Hudgins,trevor-hudgins,Trevor Hudgins
Anthony Lamb,anthony-lamb,Anthony Lamb
Isaiah Todd,isaiah-todd,Isaiah Todd
Austin Rivers,austin-rivers,Austin Rivers
Bryn Forbes,bryn-forbes,Bryn Forbes
Romeo Langford,romeo-langford,Romeo Langford
Darius Days,darius-days,Darius Days
Trevor Keels,trevor-keels,Trevor Keels
Nerlens Noel,nerlens-noel,Nerlens Noel
Mfiondu Kabengele,mfiondu-kabengele,Mfiondu Kabengele
Jordan Schakel,jordan-schakel,Jordan Schakel
Davon Reed,davon-reed,Davon Reed
Jack White,jack-white,Jack White
Rodney McGruder,rodney-mcgruder,Rodney McGruder
Vernon Carey,vernon-carey,Vernon Carey
Feron Hunt,feron-hunt,Feron Hunt
Andre Iguodala,andre-iguodala,Andre Iguodala
Rudy Gay,rudy-gay,Rudy Gay
George Hill,george-hill,George Hill
Frank Kaminsky,frank-kaminsky,Frank Kaminsky
Goran Dragic,goran-dragic,Goran Dragic
Montrezl Harrell,montrezl-harrell,Montrezl Harrell
Serge Ibaka,serge-ibaka,Serge Ibaka
Edmond Sumner,edmond-sumner,Edmond Sumner
Danny Green,danny-green,Danny Green
T.J. Warren,t.j.-warren,T.J. Warren
Marko Simonovic,marko-simonovic,Marko Simonovic
Leandro Bolmaro,leandro-bolmaro,Leandro Bolmaro
Michael Foster,michael-foster,Michael Foster
Kennedy Chandler,kennedy-chandler,Kennedy Chandler
Tyrese Martin,tyrese-martin,Tyrese Martin
Kostas Antetokounmpo,kostas-antetokounmpo,Kostas Antetokounmpo
Jarrett Culver,jarrett-culver,Jarrett Culver
Tony Bradley,tony-bradley,Tony Bradley
Willy Hernangomez,willy-hernangomez,Willy Hernangomez
Juancho Hernangomez,juancho-hernangomez,Juancho Hernangomez
Khem Birch,khem-birch,Khem Birch
Ron Harper,ron-harper,Ron Harper
John Butler,john-butler,John Butler
John Wall,john-wall,John Wall
Terence Davis,terence-davis,Terence Davis
Dewayne Dedmon,dewayne-dedmon,Dewayne Dedmon
KZ Okpala,kz-okpala,KZ Okpala
Chima Moneke,chima-moneke,Chima Moneke
Matthew Dellavedova,matthew-dellavedova,Matthew Dellavedova
Udonis Haslem,udonis-haslem,Udonis Haslem
Jordan Hall,jordan-hall,Jordan Hall
