Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
80480-89675,RB,Jonathan,Jonathan Taylor,Taylor,25.5,1,10000,IND@JAC,IND,JAC,,,,,,RB/FLEX
80480-79970,WR,Cooper,Cooper Kupp,Kupp,25.29999924,1,9700,ATL@LAR,LAR,ATL,,,,,,WR/FLEX
80480-85671,WR,Justin,Justin Jefferson,Jefferson,34.90000153,1,9200,MIN@PHI,MIN,PHI,,,,,,WR/FLEX
80480-39280,RB,Derrick,Derrick Henry,Henry,8.199999809,1,9000,TEN@BUF,TEN,BUF,,,,,,RB/FLEX
80480-62239,QB,Josh,Josh Allen,Allen,33.47999954,1,9000,TEN@BUF,BUF,TEN,,,,,,QB
80480-55050,RB,Christian,Christian McCaffrey,McCaffrey,13.69999981,1,9000,CAR@NYG,CAR,NYG,,,,,,RB/FLEX
80480-57439,QB,Patrick,Patrick Mahomes,Mahomes,34.90000153,1,8800,LAC@KC,KC,LAC,,,,,,QB
80480-45889,WR,Davante,Davante Adams,Adams,25.10000038,1,8800,ARI@LV,LV,ARI,,,,,,WR/FLEX
80480-64401,RB,Saquon,Saquon Barkley,Barkley,30.39999962,1,8800,CAR@NYG,NYG,CAR,,,,,,RB/FLEX
80480-80001,RB,Austin,Austin Ekeler,Ekeler,9.199999809,1,8700,LAC@KC,LAC,KC,,,,,,RB/FLEX
80480-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,23.89999962,1,8700,CIN@DAL,CIN,DAL,,,,,,WR/FLEX
80480-53562,RB,Nick,Nick Chubb,Chubb,14.80000019,1,8500,NYJ@CLE,CLE,NYJ,,,,,,RB/FLEX
80480-63484,QB,Kyler,Kyler Murray,Murray,20.62000084,1,8500,ARI@LV,ARI,LV,,,,,,QB
80480-33076,TE,Travis,Travis Kelce,Kelce,22.10000038,1,8400,LAC@KC,KC,LAC,,,,,,TE/FLEX
80480-69189,QB,Justin,Justin Herbert,Herbert,23.26000023,1,8400,LAC@KC,LAC,KC,,,,,,QB
80480-52442,RB,Joe,Joe Mixon,Mixon,18,1,8300,CIN@DAL,CIN,DAL,,,,,,RB/FLEX
80480-32384,WR,Mike,Mike Evans,Evans,15.60000038,1,8300,TB@NO,TB,NO,Q,Calf,,,,WR/FLEX
80480-69531,QB,Jalen,Jalen Hurts,Hurts,24.71999931,1,8300,MIN@PHI,PHI,MIN,,,,,,QB
80480-91598,RB,D'Andre,D'Andre Swift,Swift,25,1,8200,WAS@DET,DET,WAS,Q,Ankle,,,,RB/FLEX
80480-63115,QB,Lamar,Lamar Jackson,Jackson,21.21999931,1,8200,MIA@BAL,BAL,MIA,,,,,,QB
80480-25079,WR,Stefon,Stefon Diggs,Diggs,22.20000076,1,8100,TEN@BUF,BUF,TEN,,,,,,WR/FLEX
80480-6498,QB,Tom,Tom Brady,Brady,11.38000011,1,8000,TB@NO,TB,NO,,,,,,QB
80480-53681,WR,Tyreek,Tyreek Hill,Hill,14,1,8000,MIA@BAL,MIA,BAL,,,,,,WR/FLEX
80480-56018,WR,Deebo,Deebo Samuel,Samuel,11.60000038,1,8000,SEA@SF,SF,SEA,,,,,,WR/FLEX
80480-72846,WR,A.J.,A.J. Brown,Brown,20.5,1,8000,MIN@PHI,PHI,MIN,,,,,,WR/FLEX
80480-54140,RB,Dalvin,Dalvin Cook,Cook,12.30000019,1,7900,MIN@PHI,MIN,PHI,,,,,,RB/FLEX
80480-63336,QB,Joe,Joe Burrow,Burrow,22.21999931,1,7900,CIN@DAL,CIN,DAL,,,,,,QB
80480-69213,WR,Michael,Michael Pittman Jr.,Pittman Jr.,22.60000038,1,7800,IND@JAC,IND,JAC,Q,Quadriceps,,,,WR/FLEX
80480-52922,RB,Leonard,Leonard Fournette,Fournette,14.69999981,1,7800,TB@NO,TB,NO,Q,Hamstring,,,,RB/FLEX
80480-86631,WR,CeeDee,CeeDee Lamb,Lamb,3.900000095,1,7700,CIN@DAL,DAL,CIN,,,,,,WR/FLEX
80480-31716,QB,Dak,Dak Prescott,Prescott,5.460000038,1,7700,CIN@DAL,DAL,CIN,O,Thumb,,,,QB
80480-6654,QB,Matthew,Matthew Stafford,Stafford,10.80000019,1,7600,ATL@LAR,LAR,ATL,,,,,,QB
80480-22038,QB,Kirk,Kirk Cousins,Cousins,19.07999992,1,7600,MIN@PHI,MIN,PHI,,,,,,QB
80480-40687,RB,James,James Conner,Conner,14,1,7600,ARI@LV,ARI,LV,,,,,,RB/FLEX
80480-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,21.10000038,1,7500,ATL@LAR,ATL,LAR,,,,,,RB/FLEX
80480-149696,QB,Trey,Trey Lance,Lance,10.96000004,1,7500,SEA@SF,SF,SEA,,,,,,QB
80480-6894,QB,Aaron,Aaron Rodgers,Rodgers,4.699999809,1,7500,CHI@GB,GB,CHI,,,,,,QB
80480-54604,QB,Jimmy,Jimmy Garoppolo,Garoppolo,14.79999966,18,7500,SEA@SF,SF,SEA,,,,,,QB
80480-22015,QB,Russell,Russell Wilson,Wilson,17.79999924,1,7500,HOU@DEN,DEN,HOU,,,,,,QB
80480-86687,WR,Marquise,Marquise Brown,Brown,12.30000019,1,7400,ARI@LV,ARI,LV,,,,,,WR/FLEX
80480-70324,QB,Carson,Carson Wentz,Wentz,29.71999931,1,7400,WAS@DET,WAS,DET,,,,,,QB
80480-90933,RB,Antonio,Antonio Gibson,Gibson,16.5,1,7400,WAS@DET,WAS,DET,,,,,,RB/FLEX
80480-52436,TE,Mark,Mark Andrews,Andrews,7.699999809,1,7400,MIA@BAL,BAL,MIA,,,,,,TE/FLEX
80480-29253,WR,Keenan,Keenan Allen,Allen,8.600000381,1,7300,LAC@KC,LAC,KC,O,Hamstring,,,,WR/FLEX
80480-29358,QB,Marcus,Marcus Mariota,Mariota,19.79999924,1,7300,ATL@LAR,ATL,LAR,,,,,,QB
80480-45859,QB,Derek,Derek Carr,Carr,16.79999924,1,7300,ARI@LV,LV,ARI,,,,,,QB
80480-56250,WR,Terry,Terry McLaurin,McLaurin,12.80000019,1,7300,WAS@DET,WAS,DET,,,,,,WR/FLEX
80480-93541,RB,Javonte,Javonte Williams,Williams,14.30000019,1,7300,HOU@DEN,DEN,HOU,,,,,,RB/FLEX
80480-24849,QB,Jameis,Jameis Winston,Winston,21.65999985,1,7200,TB@NO,NO,TB,Q,Back,,,,QB
80480-90573,WR,Jaylen,Jaylen Waddle,Waddle,15.69999981,1,7200,MIA@BAL,MIA,BAL,,,,,,WR/FLEX
80480-90575,RB,Najee,Najee Harris,Harris,9.600000381,1,7200,NE@PIT,PIT,NE,Q,Foot,,,,RB/FLEX
80480-42104,RB,Alvin,Alvin Kamara,Kamara,6.099999905,1,7200,TB@NO,NO,TB,Q,Ribs,,,,RB/FLEX
