Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
83704-39280,RB,Derrick,Derrick Henry,Henry,19.405999755859376,10,9500,CIN@TEN,TEN,CIN,,,,,,RB/FLEX
83704-53681,WR,Tyreek,Tyreek Hill,Hill,18.18000030517578,10,9200,HOU@MIA,MIA,HOU,,,,,,WR/FLEX
83704-55050,RB,Christian,Christian McCaffrey,McCaffrey,17.475999450683595,10,9200,NO@SF,SF,NO,,,,,,RB/FLEX
83704-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.939999389648438,10,9000,LAR@KC,KC,LAR,,,,,,QB
83704-45889,WR,Davante,Davante Adams,Adams,18.439999389648438,10,9000,LV@SEA,LV,SEA,,,,,,WR/FLEX
83704-80001,RB,Austin,Austin Ekeler,Ekeler,19.560000610351562,10,8800,LAC@ARI,LAC,ARI,,,,,,RB/FLEX
83704-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.885713849748885,7,8800,CIN@TEN,CIN,TEN,Q,Hip,,,,WR/FLEX
83704-72731,RB,Josh,Josh Jacobs,Jacobs,17.710000610351564,10,8700,LV@SEA,LV,SEA,Q,Calf,,,,RB/FLEX
83704-63336,QB,Joe,Joe Burrow,Burrow,23.41999969482422,10,8600,CIN@TEN,CIN,TEN,,,,,,QB
83704-91591,QB,Justin,Justin Fields,Fields,21.37090925736861,11,8500,CHI@NYJ,CHI,NYJ,Q,Shoulder - ac joint,,,,QB
83704-16606,WR,DeAndre,DeAndre Hopkins,Hopkins,16.639999389648438,5,8400,LAC@ARI,ARI,LAC,,,,,,WR/FLEX
83704-103342,RB,Kenneth,Kenneth Walker III,Walker III,13.333333333333334,9,8400,LV@SEA,SEA,LV,,,,,,RB/FLEX
83704-90572,QB,Tua,Tua Tagovailoa,Tagovailoa,20.387500762939453,8,8300,HOU@MIA,MIA,HOU,,,,,,QB
83704-33076,TE,Travis,Travis Kelce,Kelce,18.85,10,8200,LAR@KC,KC,LAR,,,,,,TE/FLEX
83704-63115,QB,Lamar,Lamar Jackson,Jackson,21.867999267578124,10,8200,BAL@JAC,BAL,JAC,,,,,,QB
83704-89981,WR,Tee,Tee Higgins,Higgins,12.688888549804688,9,8200,CIN@TEN,CIN,TEN,,,,,,WR/FLEX
83704-53562,RB,Nick,Nick Chubb,Chubb,17.98999938964844,10,8100,TB@CLE,CLE,TB,,,,,,RB/FLEX
83704-90573,WR,Jaylen,Jaylen Waddle,Waddle,14.9,10,8100,HOU@MIA,MIA,HOU,,,,,,WR/FLEX
83704-52442,RB,Joe,Joe Mixon,Mixon,16.039999389648436,10,8000,CIN@TEN,CIN,TEN,O,Concussion,,,,RB/FLEX
83704-89956,RB,Travis,Travis Etienne Jr.,Etienne Jr.,12.769999694824218,10,8000,BAL@JAC,JAC,BAL,,,,,,RB/FLEX
83704-69189,QB,Justin,Justin Herbert,Herbert,17.11999969482422,10,7900,LAC@ARI,LAC,ARI,,,,,,QB
83704-31001,WR,Amari,Amari Cooper,Cooper,13.580000305175782,10,7800,TB@CLE,CLE,TB,,,,,,WR/FLEX
83704-63484,QB,Kyler,Kyler Murray,Murray,20.068888346354168,9,7800,LAC@ARI,ARI,LAC,,,,,,QB
83704-55552,RB,Jeff,Jeff Wilson Jr.,Wilson Jr.,10.490000152587891,10,7700,HOU@MIA,MIA,HOU,,,,,,RB/FLEX
83704-60858,WR,Christian,Christian Kirk,Kirk,13.510000610351563,10,7700,BAL@JAC,JAC,BAL,,,,,,WR/FLEX
83704-32384,WR,Mike,Mike Evans,Evans,12.177777608235678,9,7600,TB@CLE,TB,CLE,,,,,,WR/FLEX
83704-26483,QB,Geno,Geno Smith,Smith,18.675999450683594,10,7600,LV@SEA,SEA,LV,,,,,,QB
83704-73273,RB,David,David Montgomery,Montgomery,9.55,10,7500,CHI@NYJ,CHI,NYJ,,,,,,RB/FLEX
83704-56250,WR,Terry,Terry McLaurin,McLaurin,10.672727411443537,11,7500,ATL@WAS,WAS,ATL,,,,,,WR/FLEX
83704-6498,QB,Tom,Tom Brady,Brady,15.539999389648438,10,7400,TB@CLE,TB,CLE,,,,,,QB
83704-27050,WR,Tyler,Tyler Lockett,Lockett,11.7,10,7400,LV@SEA,SEA,LV,,,,,,WR/FLEX
83704-52436,TE,Mark,Mark Andrews,Andrews,12.200000339084202,9,7300,BAL@JAC,BAL,JAC,,,,,,TE/FLEX
83704-29253,WR,Keenan,Keenan Allen,Allen,6.866666793823242,3,7300,LAC@ARI,LAC,ARI,,,,,,WR/FLEX
83704-87770,WR,Chris,Chris Olave,Olave,11.95,10,7300,NO@SF,NO,SF,,,,,,WR/FLEX
83704-45859,QB,Derek,Derek Carr,Carr,15.910000610351563,10,7300,LV@SEA,LV,SEA,,,,,,QB
83704-73048,WR,DK,DK Metcalf,Metcalf,10.20999984741211,10,7200,LV@SEA,SEA,LV,,,,,,WR/FLEX
83704-52922,RB,Leonard,Leonard Fournette,Fournette,13.419999694824218,10,7200,TB@CLE,TB,CLE,O,Hip,,,,RB/FLEX
83704-57403,WR,Courtland,Courtland Sutton,Sutton,9.080000305175782,10,7100,DEN@CAR,DEN,CAR,,,,,,WR/FLEX
83704-42104,RB,Alvin,Alvin Kamara,Kamara,13.899999830457899,9,7100,NO@SF,NO,SF,,,,,,RB/FLEX
83704-21948,QB,Ryan,Ryan Tannehill,Tannehill,13.899999618530273,8,7100,CIN@TEN,TEN,CIN,,,,,,QB
83704-55635,WR,Chris,Chris Godwin,Godwin,9.75,8,7000,TB@CLE,TB,CLE,,,,,,WR/FLEX
83704-86687,WR,Marquise,Marquise Brown,Brown,14.666666666666666,6,7000,LAC@ARI,ARI,LAC,,,,,,WR/FLEX
83704-29358,QB,Marcus,Marcus Mariota,Mariota,16.30181884765625,11,7000,ATL@WAS,ATL,WAS,,,,,,QB
83704-40687,RB,James,James Conner,Conner,10.837499618530273,8,7000,LAC@ARI,ARI,LAC,,,,,,RB/FLEX
83704-86055,RB,Dameon,Dameon Pierce,Pierce,12.55,10,6900,HOU@MIA,HOU,MIA,,,,,,RB/FLEX
83704-30231,QB,Jacoby,Jacoby Brissett,Brissett,16.002000427246095,10,6900,TB@CLE,CLE,TB,,,,,,QB
83704-56018,WR,Deebo,Deebo Samuel,Samuel,12.166666666666666,9,6900,NO@SF,SF,NO,Q,Hamstring,,,,WR/FLEX
83704-89951,QB,Trevor,Trevor Lawrence,Lawrence,16.716000366210938,10,6900,BAL@JAC,JAC,BAL,,,,,,QB
83704-39829,WR,Mike,Mike Williams,Williams,11,8,6900,LAC@ARI,LAC,ARI,O,Ankle,,,,WR/FLEX
