Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
83311-64401,RB,Saquon,Saquon Barkley,Barkley,18.36666700575087,9,9700,DET@NYG,NYG,DET,,,,,,RB/FLEX
83311-25079,WR,Stefon,Stefon Diggs,Diggs,19.61111111111111,9,9400,CLE@BUF,BUF,CLE,,,,,,WR/FLEX
83311-62239,QB,Josh,Josh Allen,Allen,27.213333129882812,9,9200,CLE@BUF,BUF,CLE,,,,,,QB
83311-85671,WR,Justin,Justin Jefferson,Jefferson,19.413333468967014,9,9100,DAL@MIN,MIN,DAL,,,,,,WR/FLEX
83311-79970,WR,Cooper,Cooper Kupp,Kupp,18.211110432942707,9,9000,LAR@NO,LAR,NO,IR,Ankle,,,,WR/FLEX
83311-52442,RB,Joe,Joe Mixon,Mixon,16.966666327582466,9,9000,CIN@PIT,CIN,PIT,,,,,,RB/FLEX
83311-85701,WR,Ja'Marr,Ja'Marr Chase,Chase,16.885713849748885,7,8800,CIN@PIT,CIN,PIT,O,Hip,,,,WR/FLEX
83311-69531,QB,Jalen,Jalen Hurts,Hurts,24.342222425672745,9,8800,PHI@IND,PHI,IND,,,,,,QB
83311-91591,QB,Justin,Justin Fields,Fields,21.14600067138672,10,8700,CHI@ATL,CHI,ATL,,,,,,QB
83311-89675,RB,Jonathan,Jonathan Taylor,Taylor,12.37142835344587,7,8700,PHI@IND,IND,PHI,,,,,,RB/FLEX
83311-72731,RB,Josh,Josh Jacobs,Jacobs,17.733334011501736,9,8500,LV@DEN,LV,DEN,,,,,,RB/FLEX
83311-45889,WR,Davante,Davante Adams,Adams,17.200000339084202,9,8500,LV@DEN,LV,DEN,Q,Abdomen,,,,WR/FLEX
83311-72846,WR,A.J.,A.J. Brown,Brown,14.5,9,8400,PHI@IND,PHI,IND,,,,,,WR/FLEX
83311-53562,RB,Nick,Nick Chubb,Chubb,19.077777438693577,9,8400,CLE@BUF,CLE,BUF,,,,,,RB/FLEX
83311-63115,QB,Lamar,Lamar Jackson,Jackson,22.468889024522568,9,8400,CAR@BAL,BAL,CAR,Q,Illness,,,,QB
83311-63336,QB,Joe,Joe Burrow,Burrow,22.833333333333332,9,8300,CIN@PIT,CIN,PIT,,,,,,QB
83311-54140,RB,Dalvin,Dalvin Cook,Cook,15.366667005750868,9,8300,DAL@MIN,MIN,DAL,,,,,,RB/FLEX
83311-86631,WR,CeeDee,CeeDee Lamb,Lamb,14.255555894639757,9,8100,DAL@MIN,DAL,MIN,,,,,,WR/FLEX
83311-111540,RB,Rhamondre,Rhamondre Stevenson,Stevenson,14.666666666666666,9,8100,NYJ@NE,NE,NYJ,,,,,,RB/FLEX
83311-63759,RB,Tony,Tony Pollard,Pollard,13.222222222222221,9,8000,DAL@MIN,DAL,MIN,,,,,,RB/FLEX
83311-63519,QB,Daniel,Daniel Jones,Jones,16.504443698459202,9,7800,DET@NYG,NYG,DET,,,,,,QB
83311-86997,WR,Amon-Ra,Amon-Ra St. Brown,St. Brown,12.662500381469727,8,7800,DET@NYG,DET,NYG,,,,,,WR/FLEX
83311-52436,TE,Mark,Mark Andrews,Andrews,12.5625,8,7700,CAR@BAL,BAL,CAR,Q,Shoulder,,,,TE/FLEX
83311-86055,RB,Dameon,Dameon Pierce,Pierce,13.644444783528646,9,7600,WAS@HOU,HOU,WAS,,,,,,RB/FLEX
83311-22038,QB,Kirk,Kirk Cousins,Cousins,17.91555616590712,9,7600,DAL@MIN,MIN,DAL,,,,,,QB
83311-89981,WR,Tee,Tee Higgins,Higgins,11.862500190734863,8,7600,CIN@PIT,CIN,PIT,,,,,,WR/FLEX
83311-42104,RB,Alvin,Alvin Kamara,Kamara,14.274999618530273,8,7500,LAR@NO,NO,LAR,,,,,,RB/FLEX
83311-31716,QB,Dak,Dak Prescott,Prescott,16.334999084472656,4,7500,DAL@MIN,DAL,MIN,,,,,,QB
83311-71845,RB,Miles,Miles Sanders,Sanders,12.966666327582466,9,7300,PHI@IND,PHI,IND,,,,,,RB/FLEX
83311-56250,WR,Terry,Terry McLaurin,McLaurin,10.980000305175782,10,7300,WAS@HOU,WAS,HOU,,,,,,WR/FLEX
83311-31001,WR,Amari,Amari Cooper,Cooper,12.055555555555555,9,7200,CLE@BUF,CLE,BUF,,,,,,WR/FLEX
83311-29358,QB,Marcus,Marcus Mariota,Mariota,16.158000183105468,10,7200,CHI@ATL,ATL,CHI,,,,,,QB
83311-94534,WR,Gabe,Gabe Davis,Davis,12.050000190734863,8,7100,CLE@BUF,BUF,CLE,,,,,,WR/FLEX
83311-6616,QB,Matt,Matt Ryan,Ryan,15.637499809265137,8,7100,PHI@IND,IND,PHI,,,,,,QB
83311-55830,RB,D'Onta,D'Onta Foreman,Foreman,8.122222052680122,9,7100,CAR@BAL,CAR,BAL,,,,,,RB/FLEX
83311-57403,WR,Courtland,Courtland Sutton,Sutton,8.922222561306423,9,7000,LV@DEN,DEN,LV,,,,,,WR/FLEX
83311-45631,RB,Jamaal,Jamaal Williams,Williams,13.844444274902344,9,7000,DET@NYG,DET,NYG,,,,,,RB/FLEX
83311-45859,QB,Derek,Derek Carr,Carr,15.424445258246529,9,7000,LV@DEN,LV,DEN,,,,,,QB
83311-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,10.642857142857142,7,7000,DAL@MIN,DAL,MIN,Q,Knee - mcl,,,,RB/FLEX
83311-22015,QB,Russell,Russell Wilson,Wilson,15.112500190734863,8,6900,LV@DEN,DEN,LV,,,,,,QB
83311-87770,WR,Chris,Chris Olave,Olave,11.200000339084202,9,6900,LAR@NO,NO,LAR,,,,,,WR/FLEX
83311-92020,QB,Kenny,Kenny Pickett,Pickett,12.889999389648438,6,6900,CIN@PIT,PIT,CIN,,,,,,QB
83311-53331,QB,Taylor,Taylor Heinicke,Heinicke,14.899999618530273,4,6800,WAS@HOU,WAS,HOU,,,,,,QB
83311-83074,TE,Dallas,Dallas Goedert,Goedert,10.211111280653212,9,6800,PHI@IND,PHI,IND,IR,Shoulder,,,,TE/FLEX
83311-40167,RB,Gus,Gus Edwards,Edwards,12.550000190734863,2,6800,CAR@BAL,BAL,CAR,Q,Hamstring,,,,RB/FLEX
83311-30989,RB,Kenyan,Kenyan Drake,Drake,9.62857164655413,7,6800,CAR@BAL,BAL,CAR,,,,,,RB/FLEX
83311-38435,QB,Jared,Jared Goff,Goff,16.37555609809028,9,6800,DET@NYG,DET,NYG,,,,,,QB
83311-70324,QB,Carson,Carson Wentz,Wentz,17.24333318074544,6,6800,WAS@HOU,WAS,HOU,IR,Finger,,,,QB
83311-40669,WR,Tyler,Tyler Boyd,Boyd,11.013333638509115,9,6800,CIN@PIT,CIN,PIT,,,,,,WR/FLEX
83311-30733,RB,Cordarrelle,Cordarrelle Patterson,Patterson,12.84999974568685,6,6700,CHI@ATL,ATL,CHI,,,,,,RB/FLEX
