QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
85546-62239,85546-90575,85546-71845,85546-73048,85546-103564,85546-170287,85546-64585,85546-90428,85546-12549
85546-62239,85546-40442,85546-71845,85546-103564,85546-169776,85546-170287,85546-64585,85546-90428,85546-12549
85546-62239,85546-90575,85546-71845,85546-73048,85546-103564,85546-112745,85546-60451,85546-90428,85546-12549
85546-62239,85546-40442,85546-71845,85546-73048,85546-169776,85546-170287,85546-64585,85546-90428,85546-12549
85546-62239,85546-90575,85546-71845,85546-73048,85546-112745,85546-170287,85546-83074,85546-90428,85546-12549
85546-62239,85546-40442,85546-90575,85546-73048,85546-103564,85546-170287,85546-60451,85546-90428,85546-12549
85546-62239,85546-40442,85546-71845,85546-103564,85546-112745,85546-170287,85546-83074,85546-90428,85546-12549
85546-62239,85546-40442,85546-90575,85546-103564,85546-169776,85546-170287,85546-60451,85546-71845,85546-12549
