QB,RB,RB,WR,WR,WR,TE,FLEX,DEF
85186-91591,85186-111540,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12536
85186-91591,85186-90562,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-55987,85186-56809,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12544
85186-38435,85186-111540,85186-54608,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12536
85186-91591,85186-111540,85186-90562,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12544
85186-38435,85186-111540,85186-54608,85186-85671,85186-55987,85186-56809,85186-41872,85186-90428,85186-12544
85186-38435,85186-111540,85186-90562,85186-85671,85186-112745,85186-52917,85186-41872,85186-90428,85186-12536
85186-91591,85186-111540,85186-90562,85186-85671,85186-56809,85186-52917,85186-91047,85186-90428,85186-12536
85186-91591,85186-111540,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12551
85186-91591,85186-54608,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12551
85186-38435,85186-90562,85186-54608,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12536
85186-38435,85186-111540,85186-90428,85186-85671,85186-90561,85186-56809,85186-41872,85186-103252,85186-12536
85186-91591,85186-111540,85186-90562,85186-85671,85186-56809,85186-57986,85186-41872,85186-90428,85186-12536
85186-38435,85186-111540,85186-54608,85186-85671,85186-55987,85186-56809,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-112745,85186-56809,85186-41872,85186-90428,85186-12544
85186-85607,85186-111540,85186-90562,85186-85671,85186-55987,85186-56809,85186-41872,85186-90428,85186-12536
85186-91591,85186-111540,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12536
85186-91591,85186-90562,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-55987,85186-56809,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12544
85186-38435,85186-111540,85186-54608,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12536
85186-91591,85186-111540,85186-90562,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12544
85186-38435,85186-111540,85186-54608,85186-85671,85186-55987,85186-56809,85186-41872,85186-90428,85186-12544
85186-38435,85186-111540,85186-90562,85186-85671,85186-112745,85186-52917,85186-41872,85186-90428,85186-12536
85186-91591,85186-111540,85186-90562,85186-85671,85186-56809,85186-52917,85186-91047,85186-90428,85186-12536
85186-91591,85186-111540,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12551
85186-91591,85186-54608,85186-90428,85186-85671,85186-56809,85186-52917,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12551
85186-38435,85186-90562,85186-54608,85186-85671,85186-55987,85186-52917,85186-41872,85186-90428,85186-12536
85186-38435,85186-111540,85186-90428,85186-85671,85186-90561,85186-56809,85186-41872,85186-103252,85186-12536
85186-91591,85186-111540,85186-90562,85186-85671,85186-56809,85186-57986,85186-41872,85186-90428,85186-12536
85186-38435,85186-111540,85186-54608,85186-85671,85186-55987,85186-56809,85186-41872,85186-103252,85186-12536
85186-38435,85186-111540,85186-90562,85186-85671,85186-112745,85186-56809,85186-41872,85186-90428,85186-12544
85186-85607,85186-111540,85186-90562,85186-85671,85186-55987,85186-56809,85186-41872,85186-90428,85186-12536
