Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97505-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,56.02307598407452,26,12200,ORL@MIL,MIL,ORL,GTD,Foot,,,,PF
97505-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,55.52916463216146,24,11600,LAC@OKC,OKC,LAC,,,,,,PG
97505-15755,PF/C,Anthony,Anthony Davis,Davis,52.73461444561298,26,11500,LAL@MIN,LAL,MIN,GTD,Ankle,,,,PF/C
97505-9488,SF/PF,LeBron,LeBron James,James,48.56538273737981,26,10500,LAL@MIN,LAL,MIN,O,Ankle,,,,SF/PF
97505-145337,PG,Tyrese,Tyrese Haliburton,Haliburton,49.256522800611414,23,10400,IND@MEM,IND,MEM,,,,,,PG
97505-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,46.8681807084517,22,10300,NO@CLE,CLE,NO,O,Illness,,,,PG/SG
97505-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,45.67083231608073,24,10200,SA@CHI,SA,CHI,GTD,Ankle,,,,PF/C
97505-110344,PG,Ja,Ja Morant,Morant,57.20000076293945,1,9800,IND@MEM,MEM,IND,,,,,,PG
97505-145321,SG/SF,Anthony,Anthony Edwards,Edwards,41.3782614003057,23,9600,LAL@MIN,MIN,LAL,,,,,,SG/SF
97505-20848,PG,Damian,Damian Lillard,Lillard,43.4960009765625,25,9500,ORL@MIL,MIL,ORL,,,,,,PG
97505-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,41.833333333333336,27,9300,LAC@OKC,LAC,OKC,GTD,Hip,,,,SF/PF
97505-9644,SG/PG,James,James Harden,Harden,38.7909102006392,22,9000,LAC@OKC,LAC,OKC,,,,,,PG/SG
97505-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,39.94230769230769,26,8800,LAL@MIN,MIN,LAL,,,,,,PF/C
97505-12341,SG/SF,Paul,Paul George,George,39.7439990234375,25,8600,LAC@OKC,LAC,OKC,GTD,Illness,,,,SG/SF
97505-14514,C,Nikola,Nikola Vucevic,Vucevic,37.355174097521555,29,8600,SA@CHI,CHI,SA,,,,,,C
97505-157808,PG/SG,Cade,Cade Cunningham,Cunningham,37.25925925925926,27,8500,UTA@DET,DET,UTA,,,,,,PG/SG
97505-171759,C,Chet,Chet Holmgren,Holmgren,39.18,25,8500,LAC@OKC,OKC,LAC,,,,,,C
97505-66048,SF/PF,Brandon,Brandon Ingram,Ingram,37.21199951171875,25,8400,NO@CLE,NO,CLE,,,,,,SF/PF
97505-84683,PF/C,Jaren,Jaren Jackson,Jackson,36.71538367638221,26,8300,IND@MEM,MEM,IND,,,,,,PF/C
97505-110326,PG,Coby,Coby White,White,31.089654330549568,29,8300,SA@CHI,CHI,SA,,,,,,PG
97505-145334,SG/SF,Desmond,Desmond Bane,Bane,39.96,25,8300,IND@MEM,MEM,IND,,,,,,SG/SF
97505-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,39.1368408203125,19,8200,UTA@DET,UTA,DET,O,Hamstring,,,,SF/PF
97505-40203,C,Rudy,Rudy Gobert,Gobert,36.25384521484375,26,8100,LAL@MIN,MIN,LAL,,,,,,C
97505-9714,SF,DeMar,DeMar DeRozan,DeRozan,39.166666666666664,27,8100,SA@CHI,CHI,SA,,,,,,SF
97505-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.38214329310826,28,8000,NO@CLE,NO,CLE,GTD,Illness,,,,C
97505-171770,PF/SF,Paolo,Paolo Banchero,Banchero,37.14615337665264,26,7900,ORL@MIL,ORL,MIL,,,,,,SF/PF
97505-110310,PF,Zion,Zion Williamson,Williamson,37.39565111243206,23,7800,NO@CLE,NO,CLE,GTD,Illness,,,,PF
97505-171777,C,Walker,Walker Kessler,Kessler,28.23999938964844,20,7800,UTA@DET,UTA,DET,,,,,,C
97505-157845,PF/C,Evan,Evan Mobley,Mobley,38.07142857142857,21,7700,NO@CLE,CLE,NO,O,Knee,,,,PF/C
97505-19067,PG/SG,CJ,CJ McCollum,McCollum,38.119999186197916,15,7600,NO@CLE,NO,CLE,,,,,,PG/SG
97505-110342,PG,Darius,Darius Garland,Garland,34.45,20,7500,NO@CLE,CLE,NO,O,Jaw,,,,PG
97505-40783,SG,Zach,Zach LaVine,LaVine,33.383334689670136,18,7400,SA@CHI,CHI,SA,O,Foot,,,,SG
97505-58253,C,Myles,Myles Turner,Turner,34.4960009765625,25,7400,IND@MEM,IND,MEM,GTD,Hamstring,,,,C
97505-110347,PF/SF,Keldon,Keldon Johnson,Johnson,33.4239990234375,25,7300,SA@CHI,SA,CHI,GTD,Back,,,,SF/PF
97505-157851,SF,Franz,Franz Wagner,Wagner,35.26923076923077,26,7200,ORL@MIL,ORL,MIL,,,,,,SF
97505-84667,SG/PG,Collin,Collin Sexton,Sexton,23.442858014787948,28,7200,UTA@DET,UTA,DET,,,,,,PG/SG
97505-80821,C/PF,Jarrett,Jarrett Allen,Allen,29.769565748131793,23,7100,NO@CLE,CLE,NO,,,,,,PF/C
97505-158136,SF/SG,Austin,Austin Reaves,Reaves,28.735713413783483,28,7100,LAL@MIN,LAL,MIN,,,,,,SG/SF
97505-70827,C,Ivica,Ivica Zubac,Zubac,28.85925971137153,27,7000,LAC@OKC,LAC,OKC,,,,,,C
