Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
97751-84669,PG,Luka,Luka Doncic,Doncic,59.6827603044181,29,12700,DAL@MIN,DAL,MIN,O,Quadriceps,,,,PG
97751-55062,C,Nikola,Nikola Jokic,Jokic,58.35161369077621,31,12200,MEM@DEN,DEN,MEM,,,,,,C
97751-15755,PF/C,Anthony,Anthony Davis,Davis,53.241379310344826,29,11300,CHA@LAL,LAL,CHA,GTD,Ankle,,,,PF/C
97751-145337,PG,Tyrese,Tyrese Haliburton,Haliburton,49.4923095703125,26,10600,IND@CHI,IND,CHI,GTD,Back,,,,PG
97751-110344,PG,Ja,Ja Morant,Morant,49.79999923706055,4,10100,MEM@DEN,MEM,DEN,GTD,Illness,,,,PG
97751-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,45.11538461538461,26,10000,SA@POR,SA,POR,,,,,,PF/C
97751-9488,SF/PF,LeBron,LeBron James,James,48.800000871930806,28,9900,CHA@LAL,LAL,CHA,GTD,Knee,,,,SF/PF
97751-80808,PF/SF,Jayson,Jayson Tatum,Tatum,44.86071341378348,28,9800,DET@BOS,BOS,DET,,,,,,SF/PF
97751-145321,SG/SF,Anthony,Anthony Edwards,Edwards,42.26923076923077,26,9500,DAL@MIN,MIN,DAL,,,,,,SG/SF
97751-42677,SG/PG,Terry,Terry Rozier,Rozier,40.46666802300347,18,9200,CHA@LAL,CHA,LAL,,,,,,PG/SG
97751-145485,PG,LaMelo,LaMelo Ball,Ball,44.5933349609375,15,9100,CHA@LAL,CHA,LAL,O,Ankle,,,,PG
97751-80817,C,Bam,Bam Adebayo,Adebayo,43.70499877929687,20,9000,MIA@GS,MIA,GS,,,,,,C
97751-15557,C,Andre,Andre Drummond,Drummond,20.225000381469727,32,8900,IND@CHI,CHI,IND,,,,,,C
97751-145334,SG/SF,Desmond,Desmond Bane,Bane,41.121429443359375,28,8900,MEM@DEN,MEM,DEN,,,,,,SG/SF
97751-9714,SF,DeMar,DeMar DeRozan,DeRozan,39.27333170572917,30,8800,IND@CHI,CHI,IND,,,,,,SF
97751-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,40.49047560918899,21,8700,UTA@NO,UTA,NO,,,,,,SF/PF
97751-157808,PG/SG,Cade,Cade Cunningham,Cunningham,38.46999918619792,30,8600,DET@BOS,DET,BOS,,,,,,PG/SG
97751-9524,PG,Stephen,Stephen Curry,Curry,39.871429443359375,28,8500,MIA@GS,GS,MIA,,,,,,PG
97751-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,36.7047613234747,21,8400,DET@BOS,BOS,DET,,,,,,PF/C
97751-14498,PG/SG,Kyrie,Kyrie Irving,Irving,38.55294261259191,17,8400,DAL@MIN,DAL,MIN,O,Heel,,,,PG/SG
97751-66048,SF/PF,Brandon,Brandon Ingram,Ingram,37.767857142857146,28,8300,UTA@NO,NO,UTA,,,,,,SF/PF
97751-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,39.121429443359375,28,8300,DAL@MIN,MIN,DAL,,,,,,PF/C
97751-66108,PG,Jamal,Jamal Murray,Murray,35.99444580078125,18,8200,MEM@DEN,DEN,MEM,,,,,,PG
97751-14514,C,Nikola,Nikola Vucevic,Vucevic,37.296772618447584,31,8200,IND@CHI,CHI,IND,O,Groin,,,,C
97751-14528,SF/PF,Jimmy,Jimmy Butler,Butler,37.295651643172555,23,8200,MIA@GS,MIA,GS,O,Calf,,,,SF/PF
97751-84678,SF,Miles,Miles Bridges,Bridges,36.21176326976103,17,8100,CHA@LAL,CHA,LAL,,,,,,SF
97751-84717,SG/PG,Anfernee,Anfernee Simons,Simons,39.34545343572443,11,8100,SA@POR,POR,SA,GTD,Illness,,,,PG/SG
97751-67026,SF/SG,Jaylen,Jaylen Brown,Brown,36.88928658621652,28,8100,DET@BOS,BOS,DET,O,Back,,,,SG/SF
97751-110312,SG,Tyler,Tyler Herro,Herro,38.19166564941406,12,8000,MIA@GS,MIA,GS,,,,,,SG
97751-110326,PG,Coby,Coby White,White,31.190624237060547,32,8000,IND@CHI,CHI,IND,,,,,,PG
97751-40203,C,Rudy,Rudy Gobert,Gobert,36.227585365032326,29,8000,DAL@MIN,MIN,DAL,,,,,,C
97751-49675,PG/SG,Derrick,Derrick White,White,34.85384662334736,26,7900,DET@BOS,BOS,DET,,,,,,PG/SG
97751-110310,PF,Zion,Zion Williamson,Williamson,37.7760009765625,25,7900,UTA@NO,NO,UTA,,,,,,PF
97751-14503,C,Jonas,Jonas Valanciunas,Valanciunas,34.41612981980847,31,7800,UTA@NO,NO,UTA,,,,,,C
97751-84683,PF/C,Jaren,Jaren Jackson,Jackson,35.813792261584055,29,7800,MEM@DEN,MEM,DEN,,,,,,PF/C
97751-19067,PG/SG,CJ,CJ McCollum,McCollum,37.02222357855903,18,7700,UTA@NO,NO,UTA,,,,,,PG/SG
97751-58253,C,Myles,Myles Turner,Turner,34.875,28,7700,IND@CHI,IND,CHI,,,,,,C
97751-171779,C,Jalen,Jalen Duren,Duren,33.073333740234375,15,7600,DET@BOS,DET,BOS,,,,,,C
97751-40783,SG,Zach,Zach LaVine,LaVine,33.383334689670136,18,7600,IND@CHI,CHI,IND,O,Foot,,,,SG
97751-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,29.409522646949405,21,7500,UTA@NO,UTA,NO,,,,,,PG/SG
97751-55055,SG/PG,Dante,Dante Exum,Exum,18.51111065899884,27,7500,DAL@MIN,DAL,MIN,,,,,,PG/SG
97751-9663,PG,Jrue,Jrue Holiday,Holiday,31.75925925925926,27,7400,DET@BOS,BOS,DET,,,,,,PG
97751-84682,SF/PF,Michael,Michael Porter,Porter,30.896875381469727,32,7300,MEM@DEN,DEN,MEM,,,,,,SF/PF
97751-84673,C,Deandre,Deandre Ayton,Ayton,31.774998982747395,24,7200,SA@POR,POR,SA,O,Knee,,,,C
97751-23831,PF/SF,Jerami,Jerami Grant,Grant,32.4160009765625,25,7100,SA@POR,POR,SA,,,,,,SF/PF
97751-84667,SG/PG,Collin,Collin Sexton,Sexton,24.55806412235383,31,7000,UTA@NO,UTA,NO,,,,,,PG/SG
97751-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,29.795454545454547,22,7000,SA@POR,POR,SA,,,,,,PG/SG
97751-14509,SG,Klay,Klay Thompson,Thompson,26.15861984779095,29,6900,MIA@GS,GS,MIA,,,,,,SG
97751-171777,C,Walker,Walker Kessler,Kessler,28.44782555621603,23,6900,UTA@NO,UTA,NO,,,,,,C
97751-145324,SG,Devin,Devin Vassell,Vassell,28.3125,24,6800,SA@POR,SA,POR,,,,,,SG
97751-188433,SG/SF,Brandin,Brandin Podziemski,Podziemski,22.083333333333332,24,6700,MIA@GS,GS,MIA,,,,,,SG/SF
97751-110347,PF/SF,Keldon,Keldon Johnson,Johnson,32.53928484235491,28,6700,SA@POR,SA,POR,,,,,,SF/PF
97751-80815,PF/C,Zach,Zach Collins,Collins,27.03448275862069,29,6600,SA@POR,SA,POR,,,,,,PF/C
97751-158136,SF/SG,Austin,Austin Reaves,Reaves,28.85483870967742,31,6600,CHA@LAL,LAL,CHA,,,,,,SG/SF
97751-188425,C,Dereck,Dereck Lively,Lively,25.2160009765625,25,6500,DAL@MIN,DAL,MIN,,,,,,C
97751-14530,SF/PF,Bojan,Bojan Bogdanovic,Bogdanovic,27.954545454545453,11,6500,DET@BOS,DET,BOS,,,,,,SF/PF
97751-110352,PF/C,P.J.,P.J. Washington,Washington,27.87199951171875,25,6500,CHA@LAL,CHA,LAL,,,,,,PF/C
97751-12366,SF/SG,Gordon,Gordon Hayward,Hayward,29.8160009765625,25,6400,CHA@LAL,CHA,LAL,O,Calf,,,,SG/SF
97751-15846,SG/SF,Tim,Tim Hardaway,Hardaway,24.485713413783483,28,6400,DAL@MIN,DAL,MIN,,,,,,SG/SF
