Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
99021-84669,PG,Luka,Luka Doncic,Doncic,61.495001220703124,40,12600,MIL@DAL,DAL,MIL,,,,,,PG
99021-40199,PF,Giannis,Giannis Antetokounmpo,Antetokounmpo,57.81739342730978,46,12000,MIL@DAL,MIL,DAL,,,,,,PF
99021-15755,PF/C,Anthony,Anthony Davis,Davis,53.32608695652174,46,11100,LAL@NY,LAL,NY,GTD,Achilles,,,,PF/C
99021-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,48.3567554370777,37,10500,CLE@SA,CLE,SA,,,,,,PG/SG
99021-59358,C/PF,Domantas,Domantas Sabonis,Sabonis,48.355318110039896,47,10400,SAC@CHI,SAC,CHI,,,,,,PF/C
99021-9488,SF/PF,LeBron,LeBron James,James,47.66136585582387,44,10300,LAL@NY,LAL,NY,GTD,Ankle,,,,SF/PF
99021-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,46.89302382358285,43,10200,CLE@SA,SA,CLE,,,,,,PF/C
99021-84671,PG,Trae,Trae Young,Young,47.78139761991279,43,10000,GS@ATL,ATL,GS,,,,,,PG
99021-84690,PG,Jalen,Jalen Brunson,Brunson,42.33829839178856,47,9800,LAL@NY,NY,LAL,,,,,,PG
99021-14498,PG/SG,Kyrie,Kyrie Irving,Irving,42.92222312644676,27,9300,MIL@DAL,DAL,MIL,GTD,Thumb,,,,PG/SG
99021-9524,PG,Stephen,Stephen Curry,Curry,40.68809581938244,42,9200,GS@ATL,GS,ATL,,,,,,PG
99021-80810,PG,De'Aaron,De'Aaron Fox,Fox,44.01707197980183,41,8900,SAC@CHI,SAC,CHI,,,,,,PG
99021-20848,PG,Damian,Damian Lillard,Lillard,41.617778862847224,45,8800,MIL@DAL,MIL,DAL,,,,,,PG
99021-42669,PF,Julius,Julius Randle,Randle,41.41521686056386,46,8800,LAL@NY,NY,LAL,O,Shoulder,,,,PF
99021-67708,SG/PG,Dejounte,Dejounte Murray,Murray,37.83191437416888,47,8500,GS@ATL,ATL,GS,GTD,Back,,,,PG/SG
99021-80821,C/PF,Jarrett,Jarrett Allen,Allen,36.424390839367376,41,8400,CLE@SA,CLE,SA,GTD,Ankle,,,,PF/C
99021-157833,SF/PF,Jalen,Jalen Johnson,Johnson,34.794117647058826,34,8300,GS@ATL,ATL,GS,,,,,,SF/PF
