Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
98607-49111,C,Joel,Joel Embiid,Embiid,63.14666748046875,30,12500,PHI@CHA,PHI,CHA,GTD,Knee,,,,C
98607-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,54.35250244140625,40,11000,OKC@MIN,OKC,MIN,,,,,,PG
98607-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,47.85333251953125,30,10600,CLE@ATL,CLE,ATL,,,,,,PG/SG
98607-84671,PG,Trae,Trae Young,Young,47.95263029399671,38,10200,CLE@ATL,ATL,CLE,GTD,Illness,,,,PG
98607-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,45.885714285714286,35,10200,SA@WAS,SA,WAS,,,,,,PF/C
98607-145485,PG,LaMelo,LaMelo Ball,Ball,45.16842169510691,19,9600,PHI@CHA,CHA,PHI,GTD,Ankle,,,,PG
98607-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,41.04242498224432,33,9300,UTA@HOU,UTA,HOU,,,,,,SF/PF
98607-145321,SG/SF,Anthony,Anthony Edwards,Edwards,42.24473812705592,38,9200,OKC@MIN,MIN,OKC,,,,,,SG/SF
98607-145331,PG,Tyrese,Tyrese Maxey,Maxey,43.758973732972755,39,9200,PHI@CHA,PHI,CHA,,,,,,PG
98607-84690,PG,Jalen,Jalen Brunson,Brunson,41.742498779296874,40,9100,TOR@NY,NY,TOR,,,,,,PG
98607-157822,PF/SF,Scottie,Scottie Barnes,Barnes,44.94285656156994,42,9000,TOR@NY,TOR,NY,,,,,,SF/PF
98607-157908,C,Alperen,Alperen Sengun,Sengun,42.970001220703125,40,9000,UTA@HOU,HOU,UTA,,,,,,C
98607-42669,PF,Julius,Julius Randle,Randle,41.521429152715776,42,8800,TOR@NY,NY,TOR,,,,,,PF
98607-80821,C/PF,Jarrett,Jarrett Allen,Allen,35.52647130629595,34,8600,CLE@ATL,CLE,ATL,,,,,,PF/C
98607-84683,PF/C,Jaren,Jaren Jackson,Jackson,36.799998747996796,39,8500,MEM@CHI,MEM,CHI,,,,,,PF/C
98607-42677,SG/PG,Terry,Terry Rozier,Rozier,40.93571254185268,28,8400,PHI@CHA,CHA,PHI,,,,,,PG/SG
98607-40203,C,Rudy,Rudy Gobert,Gobert,36.870001220703124,40,8400,OKC@MIN,MIN,OKC,,,,,,C
98607-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,36.5,40,8300,SA@WAS,WAS,SA,,,,,,SF/PF
98607-14514,C,Nikola,Nikola Vucevic,Vucevic,37.921052631578945,38,8300,MEM@CHI,CHI,MEM,,,,,,C
98607-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,37.91000061035156,40,8200,OKC@MIN,MIN,OKC,,,,,,PF/C
98607-24247,PG,Fred,Fred VanVleet,VanVleet,38.287178235176285,39,8200,UTA@HOU,HOU,UTA,,,,,,PG
98607-67708,SG/PG,Dejounte,Dejounte Murray,Murray,36.951219512195124,41,8100,CLE@ATL,ATL,CLE,,,,,,PG/SG
98607-9714,SF,DeMar,DeMar DeRozan,DeRozan,38.58536585365854,41,8100,MEM@CHI,CHI,MEM,,,,,,SF
98607-171759,C,Chet,Chet Holmgren,Holmgren,37.956096370045735,41,8000,OKC@MIN,OKC,MIN,,,,,,C
98607-171760,SF/SG,Jalen,Jalen Williams,Williams,33.32105134662829,38,8000,OKC@MIN,OKC,MIN,,,,,,SG/SF
98607-110342,PG,Darius,Darius Garland,Garland,34.45,20,7900,CLE@ATL,CLE,ATL,O,Jaw,,,,PG
98607-157845,PF/C,Evan,Evan Mobley,Mobley,38.07142857142857,21,7800,CLE@ATL,CLE,ATL,O,Knee,,,,PF/C
98607-14518,PF/SF,Tobias,Tobias Harris,Harris,32.80512883112981,39,7700,PHI@CHA,PHI,CHA,,,,,,SF/PF
98607-110326,PG,Coby,Coby White,White,32.13720987009447,43,7600,MEM@CHI,CHI,MEM,,,,,,PG
98607-157833,SF/PF,Jalen,Jalen Johnson,Johnson,33.529629177517364,27,7500,CLE@ATL,ATL,CLE,,,,,,SF/PF
98607-80825,PF/C,Isaiah,Isaiah Hartenstein,Hartenstein,25.802379789806547,42,7500,TOR@NY,NY,TOR,,,,,,PF/C
98607-145348,PG/SG,Immanuel,Immanuel Quickley,Quickley,25.2,40,7500,TOR@NY,TOR,NY,,,,,,PG/SG
98607-84678,SF,Miles,Miles Bridges,Bridges,35.94642857142857,28,7400,PHI@CHA,CHA,PHI,,,,,,SF
98607-40783,SG,Zach,Zach LaVine,LaVine,32.9039990234375,25,7400,MEM@CHI,CHI,MEM,O,Ankle,,,,SG
98607-23798,SG/SF,Caris,Caris LeVert,LeVert,29.032258064516128,31,7200,CLE@ATL,CLE,ATL,GTD,Wrist,,,,SG/SF
98607-84667,SG/PG,Collin,Collin Sexton,Sexton,27.102326149164245,43,7100,UTA@HOU,UTA,HOU,,,,,,PG/SG
98607-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,29.49090946081913,33,7000,UTA@HOU,UTA,HOU,,,,,,PG/SG
98607-110322,PG/SG,Jordan,Jordan Poole,Poole,26.95897498497596,39,6900,SA@WAS,WAS,SA,,,,,,PG/SG
98607-110357,SF,RJ,RJ Barrett,Barrett,29.680555555555557,36,6900,TOR@NY,TOR,NY,,,,,,SF
98607-145324,SG,Devin,Devin Vassell,Vassell,29.794443766276043,36,6900,SA@WAS,SA,WAS,,,,,,SG
98607-157905,SG/PG,Josh,Josh Giddey,Giddey,27.814999389648438,40,6800,OKC@MIN,OKC,MIN,,,,,,PG/SG
98607-110347,PF/SF,Keldon,Keldon Johnson,Johnson,30.933333959334934,39,6800,SA@WAS,SA,WAS,,,,,,SF/PF
98607-58081,PG,Tyus,Tyus Jones,Jones,28.472500610351563,40,6700,SA@WAS,WAS,SA,,,,,,PG
98607-171756,SF/SG,Vince,Vince Williams,Williams,19.574193154611894,31,6700,MEM@CHI,MEM,CHI,,,,,,SG/SF
98607-55059,C,Clint,Clint Capela,Capela,31.243589743589745,39,6700,CLE@ATL,ATL,CLE,,,,,,C
98607-110325,C,Daniel,Daniel Gafford,Gafford,29.919443766276043,36,6600,SA@WAS,WAS,SA,O,Concussion,,,,C
98607-171767,PF,Jabari,Jabari Smith,Smith,28.643589117588142,39,6600,UTA@HOU,HOU,UTA,,,,,,PF
98607-145323,PG,Tre,Tre Jones,Jones,22.370270600190032,37,6600,SA@WAS,SA,WAS,,,,,,PG
98607-58378,C,Jakob,Jakob Poeltl,Poeltl,28.86944580078125,36,6500,TOR@NY,TOR,NY,O,Ankle,,,,C
98607-66236,PF/C,John,John Collins,Collins,27.112821138822117,39,6500,UTA@HOU,UTA,HOU,,,,,,PF/C
98607-171749,PG/PF,Jeremy,Jeremy Sochan,Sochan,25.35609696551067,41,6500,SA@WAS,SA,WAS,,,,,,PG/PF
98607-68090,SF/SG,OG,OG Anunoby,Anunoby,27.140540870460303,37,6500,TOR@NY,NY,TOR,,,,,,SG/SF
98607-145539,SF/PF,Deni,Deni Avdija,Avdija,27.645001220703126,40,6400,SA@WAS,WAS,SA,,,,,,SF/PF
98607-145318,C,Nick,Nick Richards,Richards,23.034374237060547,32,6400,PHI@CHA,CHA,PHI,GTD,Ankle,,,,C
98607-84703,SG/PG,De'Anthony,De'Anthony Melton,Melton,26.51212195194129,33,6300,PHI@CHA,PHI,CHA,O,Back,,,,PG/SG
98607-80815,PF/C,Zach,Zach Collins,Collins,26.774999618530273,32,6300,SA@WAS,SA,WAS,GTD,Rest,,,,PF/C
98607-145336,C,Xavier,Xavier Tillman,Tillman,20.02068881330819,29,6300,MEM@CHI,MEM,CHI,GTD,Knee,,,,C
98607-157907,SG/PG,Jalen,Jalen Green,Green,28.0125,40,6200,UTA@HOU,HOU,UTA,,,,,,PG/SG
98607-171786,C,Mark,Mark Williams,Williams,30.88420988384046,19,6200,PHI@CHA,CHA,PHI,O,Back,,,,C
98607-110995,C/PF,Naz,Naz Reid,Reid,23.073170731707318,41,6200,OKC@MIN,MIN,OKC,,,,,,PF/C
98607-112708,SG/SF,Max,Max Strus,Strus,27.22564227764423,39,6100,CLE@ATL,CLE,ATL,,,,,,SG/SF
98607-171777,C,Walker,Walker Kessler,Kessler,27.388570731026785,35,6100,UTA@HOU,UTA,HOU,,,,,,C
98607-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,23.19499969482422,40,6100,CLE@ATL,ATL,CLE,,,,,,PF/C
98607-15557,C,Andre,Andre Drummond,Drummond,22.493023539698402,43,6000,MEM@CHI,CHI,MEM,GTD,Back,,,,C
98607-84679,PF/C,Marvin,Marvin Bagley,Bagley,19.381481029369212,27,6000,SA@WAS,WAS,SA,,,,,,PF/C
98607-55060,SF/SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,28.28717823517628,39,6000,CLE@ATL,ATL,CLE,GTD,Ankle,,,,SG/SF
98607-188444,PF,GG,GG Jackson,Jackson,11.788888719346788,9,5900,MEM@CHI,MEM,CHI,,,,,,PF
98607-84681,SG/SF,Donte,Donte DiVincenzo,DiVincenzo,21.385714576357888,42,5900,TOR@NY,NY,TOR,,,,,,SG/SF
98607-84694,SF,Bruce,Bruce Brown,Brown,24.961765064912683,34,5900,TOR@NY,TOR,NY,,,,,,SF
98607-110352,PF/C,P.J.,P.J. Washington,Washington,25.79696932705966,33,5900,PHI@CHA,CHA,PHI,,,,,,PF/C
98607-9575,PG,Mike,Mike Conley,Conley,26.475,40,5900,OKC@MIN,MIN,OKC,,,,,,PG
98607-157844,PF/C,Santi,Santi Aldama,Aldama,22.635484264742942,31,5800,MEM@CHI,MEM,CHI,,,,,,PF/C
98607-171769,SF,Tari,Tari Eason,Eason,25.868180708451703,22,5800,UTA@HOU,HOU,UTA,O,Lower leg,,,,SF
98607-23981,PG/SG,Alex,Alex Caruso,Caruso,23.386111789279514,36,5800,MEM@CHI,CHI,MEM,,,,,,PG/SG
98607-40201,PG,Dennis,Dennis Schroder,Schroder,28.478570847284224,42,5700,TOR@NY,TOR,NY,,,,,,PG
98607-145328,PF/SF,Saddiq,Saddiq Bey,Bey,24.948781083269818,41,5700,CLE@ATL,ATL,CLE,,,,,,SF/PF
98607-12366,SF/SG,Gordon,Gordon Hayward,Hayward,29.8160009765625,25,5600,PHI@CHA,CHA,PHI,O,Calf,,,,SG/SF
98607-145329,C,Paul,Paul Reed,Reed,16.360000610351562,40,5600,PHI@CHA,PHI,CHA,,,,,,C
98607-40562,SG/SF,Josh,Josh Hart,Hart,20.770731111852132,41,5500,TOR@NY,NY,TOR,GTD,Knee,,,,SG/SF
98607-58153,SF/SG,Kelly,Kelly Oubre,Oubre,23.803571428571427,28,5500,PHI@CHA,PHI,CHA,,,,,,SG/SF
98607-23716,SF/PF,Kyle,Kyle Anderson,Anderson,19.68780517578125,41,5400,OKC@MIN,MIN,OKC,,,,,,SF/PF
98607-188412,PG/SG,Keyonte,Keyonte George,George,20.66756789748733,37,5400,UTA@HOU,UTA,HOU,,,,,,PG/SG
98607-188419,SF,Brandon,Brandon Miller,Miller,23.957575017755683,33,5300,PHI@CHA,CHA,PHI,,,,,,SF
