Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
98572-49111,C,Joel,Joel Embiid,Embiid,63.310344827586206,29,12400,PHI@ORL,PHI,ORL,,,,,,C
98572-55062,C,Nikola,Nikola Jokic,Jokic,56.8731719226372,41,11800,DEN@BOS,DEN,BOS,,,,,,C
98572-15755,PF/C,Anthony,Anthony Davis,Davis,54.129998779296876,40,11500,BKN@LAL,LAL,BKN,GTD,Ankle,,,,PF/C
98572-145337,PG,Tyrese,Tyrese Haliburton,Haliburton,50.19091057054924,33,10700,IND@POR,IND,POR,,,,,,PG
98572-84671,PG,Trae,Trae Young,Young,47.95263029399671,38,10400,ATL@MIA,ATL,MIA,O,Illness,,,,PG
98572-80808,PF/SF,Jayson,Jayson Tatum,Tatum,45.46315725226151,38,10300,DEN@BOS,BOS,DEN,,,,,,SF/PF
98572-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,45.885714285714286,35,10100,SA@CHA,SA,CHA,O,Rest,,,,PF/C
98572-9488,SF/PF,LeBron,LeBron James,James,47.31842041015625,38,10000,BKN@LAL,LAL,BKN,GTD,Ankle,,,,SF/PF
98572-145485,PG,LaMelo,LaMelo Ball,Ball,45.111111111111114,18,9900,SA@CHA,CHA,SA,,,,,,PG
98572-58460,SG,Devin,Devin Booker,Booker,44.45161290322581,31,9700,PHO@NO,PHO,NO,,,,,,SG
98572-9646,SF/PF,Kevin,Kevin Durant,Durant,47.7242431640625,33,9600,PHO@NO,PHO,NO,,,,,,SF/PF
98572-145331,PG,Tyrese,Tyrese Maxey,Maxey,43.51315789473684,38,9400,PHI@ORL,PHI,ORL,,,,,,PG
98572-80817,C,Bam,Bam Adebayo,Adebayo,43.796772618447584,31,9300,ATL@MIA,MIA,ATL,,,,,,C
98572-171770,PF/SF,Paolo,Paolo Banchero,Banchero,40.47073289824695,41,9100,PHI@ORL,ORL,PHI,,,,,,SF/PF
98572-67026,SF/SG,Jaylen,Jaylen Brown,Brown,37.336843390213815,38,8800,DEN@BOS,BOS,DEN,,,,,,SG/SF
98572-14528,SF/PF,Jimmy,Jimmy Butler,Butler,36.661538931039665,26,8700,ATL@MIA,MIA,ATL,,,,,,SF/PF
98572-42677,SG/PG,Terry,Terry Rozier,Rozier,41.111111111111114,27,8600,SA@CHA,CHA,SA,,,,,,PG/SG
98572-66048,SF/PF,Brandon,Brandon Ingram,Ingram,37.08420924136513,38,8500,PHO@NO,NO,PHO,,,,,,SF/PF
98572-63122,PF/C,Kristaps,Kristaps Porzingis,Porzingis,36.1433349609375,30,8400,DEN@BOS,BOS,DEN,,,,,,PF/C
98572-110312,SG,Tyler,Tyler Herro,Herro,37.03181873668324,22,8300,ATL@MIA,MIA,ATL,,,,,,SG
98572-19067,PG/SG,CJ,CJ McCollum,McCollum,37.096426827566965,28,8200,PHO@NO,NO,PHO,,,,,,PG/SG
98572-67708,SG/PG,Dejounte,Dejounte Murray,Murray,36.72250061035156,40,8100,ATL@MIA,ATL,MIA,,,,,,PG/SG
98572-14518,PF/SF,Tobias,Tobias Harris,Harris,32.7289460834704,38,8000,PHI@ORL,PHI,ORL,,,,,,SF/PF
98572-60021,PF/C,Pascal,Pascal Siakam,Siakam,38.19743464543269,39,7900,IND@POR,IND,POR,,,,,,PF/C
98572-84670,SG/SF,Mikal,Mikal Bridges,Bridges,34.92749938964844,40,7900,BKN@LAL,BKN,LAL,,,,,,SG/SF
98572-66108,PG,Jamal,Jamal Murray,Murray,37.47857230050223,28,7800,DEN@BOS,DEN,BOS,,,,,,PG
98572-110310,PF,Zion,Zion Williamson,Williamson,37.505880916819855,34,7700,PHO@NO,NO,PHO,,,,,,PF
98572-15595,SG/PG,Bradley,Bradley Beal,Beal,29.943750381469727,16,7700,PHO@NO,PHO,NO,,,,,,PG/SG
98572-157833,SF/PF,Jalen,Jalen Johnson,Johnson,33.6500009390024,26,7600,ATL@MIA,ATL,MIA,,,,,,SF/PF
98572-84717,SG/PG,Anfernee,Anfernee Simons,Simons,34.03684274773849,19,7600,IND@POR,POR,IND,GTD,Illness,,,,PG/SG
98572-157851,SF/PF,Franz,Franz Wagner,Wagner,36.34706025965073,34,7500,PHI@ORL,ORL,PHI,O,Ankle,,,,SF/PF
98572-110354,C,Nic,Nic Claxton,Claxton,34.25333251953125,30,7500,BKN@LAL,BKN,LAL,,,,,,C
98572-84678,SF,Miles,Miles Bridges,Bridges,35.95555510344329,27,7400,SA@CHA,CHA,SA,,,,,,SF
98572-55057,C,Jusuf,Jusuf Nurkic,Nurkic,34.2710539165296,38,7400,PHO@NO,PHO,NO,,,,,,C
98572-14503,C,Jonas,Jonas Valanciunas,Valanciunas,32.43333217075893,42,7300,PHO@NO,NO,PHO,,,,,,C
98572-9663,PG,Jrue,Jrue Holiday,Holiday,30.652632863898027,38,7300,DEN@BOS,BOS,DEN,,,,,,PG
98572-49675,PG/SG,Derrick,Derrick White,White,32.87026895059122,37,7200,DEN@BOS,BOS,DEN,,,,,,PG/SG
98572-84673,C,Deandre,Deandre Ayton,Ayton,31.774998982747395,24,7100,IND@POR,POR,IND,GTD,Knee,,,,C
