Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
82553-84669,PG/SG,Luka,Luka Doncic,Doncic,65.85999755859375,5,12000,ORL@DAL,DAL,ORL,,,,,,PG/SG
82553-55062,C,Nikola,Nikola Jokic,Jokic,49.54999796549479,6,11300,DEN@LAL,DEN,LAL,,,,,,C
82553-15755,PF/C,Anthony,Anthony Davis,Davis,51.900001525878906,4,10700,DEN@LAL,LAL,DEN,GTD,Back,,,,PF/C
82553-80808,PF/SF,Jayson,Jayson Tatum,Tatum,51.2,5,10500,WAS@BOS,BOS,WAS,,,,,,SF/PF
82553-9488,SF/PF,LeBron,LeBron James,James,50.679998779296874,5,10400,DEN@LAL,LAL,DEN,GTD,Foot,,,,SF/PF
82553-9524,PG,Stephen,Stephen Curry,Curry,50.03333536783854,6,9900,GS@DET,GS,DET,,,,,,PG
82553-66113,SG/PG,Donovan,Donovan Mitchell,Mitchell,48.16000061035156,5,9300,NY@CLE,CLE,NY,,,,,,PG/SG
82553-58460,SG,Devin,Devin Booker,Booker,41.97999877929688,5,8900,HOU@PHO,PHO,HOU,,,,,,SG
82553-40203,C,Rudy,Rudy Gobert,Gobert,40.28333282470703,6,8700,MIN@SA,MIN,SA,,,,,,C
82553-15595,SG,Bradley,Bradley Beal,Beal,38.13999938964844,5,8600,WAS@BOS,WAS,BOS,,,,,,SG
82553-171770,PF/SF,Paolo,Paolo Banchero,Banchero,42.583333333333336,6,8500,ORL@DAL,ORL,DAL,,,,,,SF/PF
82553-58462,PF/C,Karl-Anthony,Karl-Anthony Towns,Towns,36.916666666666664,6,8400,MIN@SA,MIN,SA,,,,,,PF/C
82553-67026,SF/SG,Jaylen,Jaylen Brown,Brown,41.9,5,8300,WAS@BOS,BOS,WAS,,,,,,SG/SF
82553-157808,PG/SG,Cade,Cade Cunningham,Cunningham,39.76666768391927,6,8000,GS@DET,DET,GS,,,,,,PG/SG
82553-110345,PG,Kevin,Kevin Porter,Porter,38.51666768391927,6,7900,HOU@PHO,HOU,PHO,,,,,,PG
82553-145321,SG/SF,Anthony,Anthony Edwards,Edwards,37.28333282470703,6,7700,MIN@SA,MIN,SA,,,,,,SG/SF
82553-84690,PG/SG,Jalen,Jalen Brunson,Brunson,36.23999938964844,5,7600,NY@CLE,NY,CLE,,,,,,PG/SG
82553-110342,SG/PG,Darius,Darius Garland,Garland,13.699999809265137,1,7600,NY@CLE,CLE,NY,O,Eye,,,,PG/SG
82553-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,38.449999491373696,6,7600,GS@DET,GS,DET,,,,,,SF/PF
82553-42669,PF/C,Julius,Julius Randle,Randle,36.879998779296876,5,7500,NY@CLE,NY,CLE,,,,,,PF/C
82553-110347,PF/SF,Keldon,Keldon Johnson,Johnson,36.81666564941406,6,7500,MIN@SA,SA,MIN,,,,,,SF/PF
82553-9623,PG,Chris,Chris Paul,Paul,35.07999877929687,5,7400,HOU@PHO,PHO,HOU,,,,,,PG
82553-58312,PG/SG,D'Angelo,D'Angelo Russell,Russell,35.800000508626304,6,7400,MIN@SA,MIN,SA,,,,,,PG/SG
82553-58377,SF/PF,Kyle,Kyle Kuzma,Kuzma,34.13999938964844,5,7300,WAS@BOS,WAS,BOS,,,,,,SF/PF
82553-63122,C/PF,Kristaps,Kristaps Porzingis,Porzingis,32.779998779296875,5,7200,WAS@BOS,WAS,BOS,,,,,,PF/C
82553-42202,PF/C,Christian,Christian Wood,Wood,30.460000610351564,5,7200,ORL@DAL,DAL,ORL,,,,,,PF/C
82553-58378,C,Jakob,Jakob Poeltl,Poeltl,35.53333282470703,6,7100,MIN@SA,SA,MIN,,,,,,C
82553-84673,C,Deandre,Deandre Ayton,Ayton,28.639999389648438,5,7000,HOU@PHO,PHO,HOU,O,Ankle,,,,C
82553-80821,C/PF,Jarrett,Jarrett Allen,Allen,32.679998779296874,5,6900,NY@CLE,CLE,NY,,,,,,PF/C
82553-23798,SG/SF,Caris,Caris LeVert,LeVert,33.720001220703125,5,6700,NY@CLE,CLE,NY,,,,,,SG/SF
82553-9642,PG,Russell,Russell Westbrook,Westbrook,30.149999618530273,4,6700,DEN@LAL,LAL,DEN,,,,,,PG
82553-157851,SF/SG,Franz,Franz Wagner,Wagner,28.633333841959637,6,6600,ORL@DAL,ORL,DAL,,,,,,SG/SF
82553-145324,SG,Devin,Devin Vassell,Vassell,35.25,4,6500,MIN@SA,SA,MIN,O,Knee,,,,SG
82553-157845,PF/C,Evan,Evan Mobley,Mobley,30.360000610351562,5,6400,NY@CLE,CLE,NY,,,,,,PF/C
82553-84676,C/PF,Wendell,Wendell Carter,Carter,29.833333333333332,6,6400,ORL@DAL,ORL,DAL,,,,,,PF/C
82553-157907,SG/PG,Jalen,Jalen Green,Green,31.5,6,6400,HOU@PHO,HOU,PHO,,,,,,PG/SG
82553-84682,PF/SF,Michael,Michael Porter,Porter,30.639999389648438,5,6300,DEN@LAL,DEN,LAL,,,,,,SF/PF
82553-171780,SG,Jaden,Jaden Ivey,Ivey,27.76000061035156,5,6200,GS@DET,DET,GS,,,,,,SG
82553-84670,SG/SF,Mikal,Mikal Bridges,Bridges,32.1,5,6100,HOU@PHO,PHO,HOU,,,,,,SG/SF
82553-157908,C/PF,Alperen,Alperen Sengun,Sengun,32.79999923706055,4,6100,HOU@PHO,HOU,PHO,,,,,,PF/C
82553-14530,SF/PF,Bojan,Bojan Bogdanovic,Bogdanovic,30.03333282470703,6,6000,GS@DET,DET,GS,,,,,,SF/PF
82553-171767,PF,Jabari,Jabari Smith,Smith,27.46666717529297,6,6000,HOU@PHO,HOU,PHO,GTD,Ankle,,,,PF
82553-145323,PG,Tre,Tre Jones,Jones,29.116666158040363,6,6000,MIN@SA,SA,MIN,,,,,,PG
82553-110322,PG/SG,Jordan,Jordan Poole,Poole,28.433334350585938,6,5900,GS@DET,GS,DET,GTD,Ankle,,,,PG/SG
82553-110357,SF/SG,RJ,RJ Barrett,Barrett,27.7,5,5900,NY@CLE,NY,CLE,,,,,,SG/SF
82553-145327,PG/SG,Cole,Cole Anthony,Anthony,30.075000762939453,4,5900,ORL@DAL,ORL,DAL,O,Oblique,,,,PG/SG
82553-145328,SF,Saddiq,Saddiq Bey,Bey,23.71666717529297,6,5800,GS@DET,DET,GS,,,,,,SF
82553-15860,PF/C,Draymond,Draymond Green,Green,27.916666666666668,6,5700,GS@DET,GS,DET,,,,,,PF/C
82553-23670,SG/PG,Marcus,Marcus Smart,Smart,25.73999938964844,5,5600,WAS@BOS,BOS,WAS,,,,,,PG/SG
82553-41594,PF/C,Aaron,Aaron Gordon,Gordon,26.5500005086263,6,5600,DEN@LAL,DEN,LAL,,,,,,PF/C
82553-9453,C/PF,Al,Al Horford,Horford,17.350000381469727,4,5600,WAS@BOS,BOS,WAS,,,,,,PF/C
82553-14509,SG/SF,Klay,Klay Thompson,Thompson,18.9499994913737,6,5500,GS@DET,GS,DET,,,,,,SG/SF
82553-145307,C/PF,Isaiah,Isaiah Stewart,Stewart,27.96666717529297,6,5500,GS@DET,DET,GS,,,,,,PF/C
