Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
99655-55062,C,Nikola,Nikola Jokic,Jokic,57.30357142857143,56,12100,DEN@GS,DEN,GS,,,,,,C
99655-188414,PF/C,Victor,Victor Wembanyama,Wembanyama,47.950980392156865,51,11600,SA@UTA,SA,UTA,,,,,,PF/C
99655-84680,PG,Shai,Shai Gilgeous-Alexander,Gilgeous-Alexander,54.48393031529018,56,11400,OKC@HOU,OKC,HOU,,,,,,PG
99655-59358,C/PF,Domantas,Domantas Sabonis,Sabonis,49.430908203125,55,10700,SAC@LAC,SAC,LAC,,,,,,PF/C
99655-80810,PG,De'Aaron,De'Aaron Fox,Fox,44.365304129464285,49,9700,SAC@LAC,SAC,LAC,,,,,,PG
99655-84671,PG,Trae,Trae Young,Young,45.81923264723558,52,9400,ORL@ATL,ATL,ORL,O,Finger,,,,PG
99655-9524,PG,Stephen,Stephen Curry,Curry,41.167922685731135,53,9300,DEN@GS,GS,DEN,,,,,,PG
99655-110310,PF,Zion,Zion Williamson,Williamson,38.41956627887228,46,9200,CHI@NO,NO,CHI,GTD,Foot,,,,PF
99655-14513,SF/PF,Kawhi,Kawhi Leonard,Leonard,42.12353036917892,51,8900,SAC@LAC,LAC,SAC,,,,,,SF/PF
99655-84678,SF/PF,Miles,Miles Bridges,Bridges,38.44222276475694,45,8800,CHA@POR,CHA,POR,,,,,,SF/PF
99655-171770,PF/SF,Paolo,Paolo Banchero,Banchero,40.0672396955819,58,8700,ORL@ATL,ORL,ATL,O,Illness,,,,SF/PF
99655-9644,SG/PG,James,James Harden,Harden,39.46199951171875,50,8700,SAC@LAC,LAC,SAC,,,,,,PG/SG
99655-145485,PG,LaMelo,LaMelo Ball,Ball,44.29999889026988,22,8600,CHA@POR,CHA,POR,O,Ankle,,,,PG
99655-66048,SF/PF,Brandon,Brandon Ingram,Ingram,37.83921664368872,51,8500,CHI@NO,NO,CHI,GTD,Illness,,,,SF/PF
99655-66108,PG,Jamal,Jamal Murray,Murray,37.56585246760671,41,8300,DEN@GS,DEN,GS,GTD,Lower leg,,,,PG
99655-157908,C,Alperen,Alperen Sengun,Sengun,42.43818359375,55,8300,OKC@HOU,HOU,OKC,,,,,,C
99655-67708,SG/PG,Dejounte,Dejounte Murray,Murray,38.267923607016506,53,8200,ORL@ATL,ATL,ORL,,,,,,PG/SG
99655-14514,C,Nikola,Nikola Vucevic,Vucevic,38.52745145909927,51,8200,CHI@NO,CHI,NO,,,,,,C
99655-12341,SG/SF,Paul,Paul George,George,37.58113299675708,53,8100,SAC@LAC,LAC,SAC,GTD,Knee,,,,SG/SF
99655-157833,SF/PF,Jalen,Jalen Johnson,Johnson,35.68571544828869,42,8100,ORL@ATL,ATL,ORL,,,,,,SF/PF
99655-157851,SF/PF,Franz,Franz Wagner,Wagner,35.72653011399873,49,8100,ORL@ATL,ORL,ATL,,,,,,SF/PF
99655-171759,C,Chet,Chet Holmgren,Holmgren,38.29107230050223,56,8100,OKC@HOU,OKC,HOU,,,,,,C
99655-171760,SF/SG,Jalen,Jalen Williams,Williams,33.6039990234375,50,8000,OKC@HOU,OKC,HOU,,,,,,SG/SF
99655-188405,PG/SG,Amen,Amen Thompson,Thompson,22.151350691511823,37,8000,OKC@HOU,HOU,OKC,,,,,,PG/SG
99655-19067,PG/SG,CJ,CJ McCollum,McCollum,34.70465229832849,43,7900,CHI@NO,NO,CHI,O,Ankle,,,,PG/SG
99655-84673,C,Deandre,Deandre Ayton,Ayton,32.71842233758224,38,7900,CHA@POR,POR,CHA,,,,,,C
99655-80812,PF/SF,Lauri,Lauri Markkanen,Markkanen,39.1510633103391,47,7900,SA@UTA,UTA,SA,,,,,,SF/PF
99655-24247,PG,Fred,Fred VanVleet,VanVleet,37.64898058832908,49,7800,OKC@HOU,HOU,OKC,,,,,,PG
99655-9714,SF,DeMar,DeMar DeRozan,DeRozan,39.120370370370374,54,7800,CHI@NO,CHI,NO,,,,,,SF
99655-84717,SG/PG,Anfernee,Anfernee Simons,Simons,34.48749923706055,32,7600,CHA@POR,POR,CHA,,,,,,PG/SG
99655-110326,PG,Coby,Coby White,White,33.62321472167969,56,7500,CHI@NO,CHI,NO,,,,,,PG
99655-145324,SG,Devin,Devin Vassell,Vassell,31.40576876126803,52,7400,SA@UTA,SA,UTA,,,,,,SG
99655-23831,PF/SF,Jerami,Jerami Grant,Grant,32.38958231608073,48,7300,CHA@POR,POR,CHA,,,,,,SF/PF
99655-188419,SF,Brandon,Brandon Miller,Miller,27.6239990234375,50,7100,CHA@POR,CHA,POR,,,,,,SF
99655-16359,PG/SG,Malcolm,Malcolm Brogdon,Brogdon,29.656409630408653,39,7000,CHA@POR,POR,CHA,O,Elbow,,,,PG/SG
99655-14503,C,Jonas,Jonas Valanciunas,Valanciunas,31.635086862664473,57,6900,CHI@NO,NO,CHI,,,,,,C
99655-157904,SF/PF,Jonathan,Jonathan Kuminga,Kuminga,25.67777732566551,54,6800,DEN@GS,GS,DEN,,,,,,SF/PF
99655-15860,PF/C,Draymond,Draymond Green,Green,29.583870180191532,31,6800,DEN@GS,GS,DEN,,,,,,PF/C
99655-84667,SG/PG,Collin,Collin Sexton,Sexton,28.442104406524123,57,6700,SA@UTA,UTA,SA,,,,,,PG/SG
99655-80816,SG/PG,Malik,Malik Monk,Monk,27.977778682002313,54,6700,SAC@LAC,SAC,LAC,,,,,,PG/SG
99655-66236,PF/C,John,John Collins,Collins,28.89056511645047,53,6600,SA@UTA,UTA,SA,,,,,,PF/C
99655-84682,SF/PF,Michael,Michael Porter,Porter,29.423213413783483,56,6600,DEN@GS,DEN,GS,,,,,,SF/PF
99655-171767,PF,Jabari,Jabari Smith,Smith,28.50980392156863,51,6600,OKC@HOU,HOU,OKC,,,,,,PF
99655-15557,C,Andre,Andre Drummond,Drummond,23.29642813546317,56,6500,CHI@NO,CHI,NO,,,,,,C
99655-157907,SG/PG,Jalen,Jalen Green,Green,29.42142813546317,56,6500,OKC@HOU,HOU,OKC,,,,,,PG/SG
99655-157905,SG/PG,Josh,Josh Giddey,Giddey,27.003635475852274,55,6500,OKC@HOU,OKC,HOU,,,,,,PG/SG
99655-188433,SG/SF,Brandin,Brandin Podziemski,Podziemski,24.497959681919642,49,6400,DEN@GS,GS,DEN,,,,,,SG/SF
99655-171749,PG/PF,Jeremy,Jeremy Sochan,Sochan,26.063157466419955,57,6400,SA@UTA,SA,UTA,,,,,,PG/PF
99655-171777,C,Walker,Walker Kessler,Kessler,27.106121452487244,49,6400,SA@UTA,UTA,SA,,,,,,C
99655-41594,PF,Aaron,Aaron Gordon,Gordon,29.249018650428923,51,6300,DEN@GS,DEN,GS,,,,,,PF
99655-157831,PG,Tre,Tre Mann,Mann,14.5,18,6300,CHA@POR,CHA,POR,,,,,,PG
99655-55060,SF/SG,Bogdan,Bogdan Bogdanovic,Bogdanovic,28.396296748408563,54,6300,ORL@ATL,ATL,ORL,,,,,,SG/SF
99655-20640,PG/SG,Jordan,Jordan Clarkson,Clarkson,27.870213285405587,47,6200,SA@UTA,UTA,SA,,,,,,PG/SG
99655-70827,C,Ivica,Ivica Zubac,Zubac,28.662223307291665,45,6200,SAC@LAC,LAC,SAC,,,,,,C
99655-145328,PF/SF,Saddiq,Saddiq Bey,Bey,25.901817737926137,55,6200,ORL@ATL,ATL,ORL,,,,,,SF/PF
99655-157848,SG/SF,Herbert,Herbert Jones,Jones,24.557692307692307,52,6100,CHI@NO,NO,CHI,,,,,,SG/SF
99655-55059,C,Clint,Clint Capela,Capela,30.772916158040363,48,6100,ORL@ATL,ATL,ORL,,,,,,C
99655-9623,PG,Chris,Chris Paul,Paul,26.725000381469727,32,6100,DEN@GS,GS,DEN,O,Hand,,,,PG
99655-110347,PF/SF,Keldon,Keldon Johnson,Johnson,29.375472158755898,53,6000,SA@UTA,SA,UTA,,,,,,SF/PF
99655-9642,PG,Russell,Russell Westbrook,Westbrook,26.719999556107954,55,6000,SAC@LAC,LAC,SAC,,,,,,PG
99655-188412,PG/SG,Keyonte,Keyonte George,George,21.270589192708332,51,6000,SA@UTA,UTA,SA,,,,,,PG/SG
99655-157847,SF,Trey,Trey Murphy,Murphy,23.068750381469727,32,5900,CHI@NO,NO,CHI,,,,,,SF
99655-145318,C,Nick,Nick Richards,Richards,24.404255319148938,47,5900,CHA@POR,CHA,POR,,,,,,C
99655-23981,PG/SG,Alex,Alex Caruso,Caruso,24.90416717529297,48,5900,CHI@NO,CHI,NO,,,,,,PG/SG
99655-157849,PG/SG,Ayo,Ayo Dosunmu,Dosunmu,19.55925835503472,54,5800,CHI@NO,CHI,NO,,,,,,PG/SG
99655-110338,SF/PF,De'Andre,De'Andre Hunter,Hunter,23.634374618530273,32,5800,ORL@ATL,ATL,ORL,,,,,,SF/PF
99655-145323,PG,Tre,Tre Jones,Jones,23.990384615384617,52,5800,SA@UTA,SA,UTA,,,,,,PG
99655-188428,PG,Scoot,Scoot Henderson,Henderson,22.86976800962936,43,5700,CHA@POR,POR,CHA,O,Thigh,,,,PG
99655-80815,PF/C,Zach,Zach Collins,Collins,23.97999945746528,45,5700,SA@UTA,SA,UTA,,,,,,PF/C
99655-49116,SF/PF,Andrew,Andrew Wiggins,Wiggins,22.4160009765625,50,5700,DEN@GS,GS,DEN,,,,,,SF/PF
99655-157850,SG/PG,Jalen,Jalen Suggs,Suggs,24.025000939002403,52,5600,ORL@ATL,ORL,ATL,,,,,,PG/SG
99655-84704,SG/SF,Kevin,Kevin Huerter,Huerter,21.78490519973467,53,5600,SAC@LAC,SAC,LAC,,,,,,SG/SF
99655-171786,C,Mark,Mark Williams,Williams,30.88420988384046,19,5600,CHA@POR,CHA,POR,O,Back,,,,C
99655-14509,SG,Klay,Klay Thompson,Thompson,26.3250004695012,52,5500,DEN@GS,GS,DEN,,,,,,SG
99655-171787,SF/PF,Keegan,Keegan Murray,Murray,27.805881874234068,51,5500,SAC@LAC,SAC,LAC,,,,,,SF/PF
99655-145304,C/PF,Onyeka,Onyeka Okongwu,Okongwu,24.383019789209907,53,5500,ORL@ATL,ATL,ORL,O,Toe,,,,PF/C
99655-188421,SG,Jordan,Jordan Hawkins,Hawkins,15.20199951171875,50,5400,CHI@NO,NO,CHI,,,,,,SG
99655-14523,PG,Reggie,Reggie Jackson,Jackson,20.177192554139253,57,5400,DEN@GS,DEN,GS,,,,,,PG
99655-110318,PF,Grant,Grant Williams,Williams,18.09230745755709,52,5400,CHA@POR,CHA,POR,,,,,,PF
99655-111273,SF/SG,Luguentz,Luguentz Dort,Dort,21.19629584418403,54,5300,OKC@HOU,OKC,HOU,,,,,,SG/SF
99655-84676,C,Wendell,Wendell Carter,Carter,23.080645161290324,31,5300,ORL@ATL,ORL,ATL,,,,,,C
99655-80805,PG,Markelle,Markelle Fultz,Fultz,21.966666085379465,21,5200,ORL@ATL,ORL,ATL,,,,,,PG
99655-145327,PG/SG,Cole,Cole Anthony,Anthony,23.412499564034597,56,5200,ORL@ATL,ORL,ATL,,,,,,PG/SG
99655-20992,PF/C,Larry,Larry Nance,Nance,17.348717322716347,39,5100,CHI@NO,NO,CHI,,,,,,PF/C
99655-171769,SF,Tari,Tari Eason,Eason,25.868180708451703,22,5100,OKC@HOU,HOU,OKC,O,Lower leg,,,,SF
99655-12366,SF/SG,Gordon,Gordon Hayward,Hayward,28.40370460792824,27,5000,OKC@HOU,OKC,HOU,,,,,,SG/SF
99655-110351,SG/PG,Cody,Cody Martin,Martin,20.84166717529297,24,5000,CHA@POR,CHA,POR,,,,,,PG/SG
99655-60233,SG/SF,Dillon,Dillon Brooks,Brooks,22.24042657081117,47,5000,OKC@HOU,HOU,OKC,,,,,,SG/SF
99655-110315,SG/SF,Terance,Terance Mann,Mann,16.269388004225128,49,4900,SAC@LAC,LAC,SAC,,,,,,SG/SF
99655-188406,SF,Cam,Cam Whitmore,Whitmore,18.826666259765624,30,4900,OKC@HOU,HOU,OKC,,,,,,SF
99655-188429,SF,Kris,Kris Murray,Murray,9.728571428571428,35,4800,CHA@POR,POR,CHA,,,,,,SF
99655-84714,C,Moritz,Moritz Wagner,Wagner,19.801817737926136,55,4800,ORL@ATL,ORL,ATL,,,,,,C
99655-158373,PG,Jose,Jose Alvarado,Alvarado,16.153846153846153,39,4700,CHI@NO,NO,CHI,O,Suspension,,,,PG
99655-16293,SF/SG,Norman,Norman Powell,Powell,19.655556007667823,54,4700,SAC@LAC,LAC,SAC,GTD,Ankle,,,,SG/SF
99655-15946,SF/PF,Harrison,Harrison Barnes,Barnes,19.292726828835228,55,4600,SAC@LAC,SAC,LAC,,,,,,SF/PF
99655-15636,SG,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,20.36730722280649,52,4600,DEN@GS,DEN,GS,GTD,Finger,,,,SG
99655-171761,PF/SF,Peyton,Peyton Watson,Watson,15.883635919744318,55,4500,DEN@GS,DEN,GS,,,,,,SF/PF
99655-171764,SF/PF,Jabari,Jabari Walker,Walker,19.127450980392158,51,4500,CHA@POR,POR,CHA,,,,,,SF/PF
99655-188447,SF/PF,Toumani,Toumani Camara,Camara,17.464814362702548,54,4400,CHA@POR,POR,CHA,,,,,,SF/PF
99655-84719,PG,Aaron,Aaron Holiday,Holiday,13.15471721145342,53,4400,OKC@HOU,HOU,OKC,,,,,,PG
99655-23802,PG/SG,Kris,Kris Dunn,Dunn,18.29387804926658,49,4400,SA@UTA,UTA,SA,,,,,,PG/SG
99655-188450,PF/C,Trayce,Trayce Jackson-Davis,Jackson-Davis,15.55714343843006,42,4300,DEN@GS,GS,DEN,,,,,,PF/C
99655-58461,PF,Trey,Trey Lyles,Lyles,15.8625,40,4300,SAC@LAC,SAC,LAC,,,,,,PF
99655-194767,C,Duop,Duop Reath,Reath,17.526828672827744,41,4300,CHA@POR,POR,CHA,,,,,,C
99655-110359,C,Goga,Goga Bitadze,Bitadze,19.85531940866024,47,4300,ORL@ATL,ORL,ATL,,,,,,C
99655-188411,PF,Taylor,Taylor Hendricks,Hendricks,12.172222561306423,18,4300,SA@UTA,UTA,SA,,,,,,PF
99655-171744,SG,Christian,Christian Braun,Braun,15.071929396244517,57,4200,DEN@GS,DEN,GS,,,,,,SG
99655-171748,SG,Malaki,Malaki Branham,Branham,14.088461068960337,52,4200,SA@UTA,SA,UTA,,,,,,SG
